	all	with	with_clust1	with_clust2	with_clust3	with_clust4	with_clust5	wo	wo_clust1	wo_clust2	wo_clust3	wo_clust4	wo_clust5
UP00079_1_Esrra_primary	5.73808831785e-05	0.0678849999187	0.398248957638	0.941508001251	0.196486684171	0.892574518858	0.045907113888	1.07121330012e-06	0.308206239785	0.182948751122	0.0943896072836	0.068961854112	6.50662084114e-05
MA0258.2.ESR2	5.31514816113e-99	1.88842427002e-59	6.71403354082e-05	1.45731151137e-09	5.79695334239e-15	5.82705974423e-13	2.2107969515e-20	3.35566645226e-46	3.5454084923e-05	2.28377141999e-05	2.58491282848e-12	2.14337191464e-09	6.27093697395e-25
UP00116_1_Rhox6_4251.1	0.999999999956	0.999999999989	0.999999999993	0.999999997337	0.999999999997	1.0	1.0	1.0	0.999998255444	0.999917771258	0.999999933185	0.999999999207	1.0
UP00104_1_Hmx1_3423.1	0.999999999957	0.999999999993	0.999999999238	0.999575524784	0.999999999995	0.999999999996	1.0	1.0	0.999654380278	0.999132397319	0.999999961426	1.0	1.0
MA0152.1.NFATC2	0.999999989716	1.0	0.993353280035	0.997788045676	0.993440872339	0.99999999122	0.999436134334	0.988333354467	0.335313894847	0.976951168916	0.764366083799	0.90624980539	0.315428590386
UP00228_1_Bapx1_2343.1	0.999999999962	0.999999999983	0.999999769551	0.999999999927	0.999999996364	1.0	1.0	1.0	0.999979152456	0.999861473159	0.99997477811	0.99999999525	0.999999999878
MA0498.1.Meis1	5.29091836555e-16	2.41652235589e-09	0.004639569886	0.0736337010942	0.0105723352936	0.0297909161823	3.04378833576e-05	5.90840583029e-14	0.0706067644606	0.267842705141	4.24411074872e-05	0.000666399135391	2.37641715587e-09
MA0163.1.PLAG1	9.71414074834e-257	4.85865174456e-186	1.0518903157e-25	8.32656280084e-30	7.19093887118e-44	4.92781632574e-55	1.01975926705e-45	8.22268057597e-81	5.07269957051e-21	2.50528763576e-11	1.16942687172e-21	1.70185563629e-24	1.12670261039e-26
MA0078.1.Sox17	0.999999851586	1.0	0.996604872424	0.986452306624	0.999955461097	0.999999972383	0.999511858981	0.973397407878	0.902978677867	0.974617513022	0.982259444389	0.983794061754	0.203701000761
MA0137.3.STAT1	3.81045927311e-23	4.77627077332e-09	0.13601032098	0.175076256085	2.94040441958e-10	0.824070421041	5.05412388943e-08	6.24964732291e-10	0.00426236659415	0.0540933360511	0.000193493307822	0.0001230658339	8.05702220088e-08
UP00107_1_Nkx2-4_3074.1	0.999999999985	0.999999999997	0.999995854406	0.999760324878	0.999999995636	0.999999999853	0.999999995282	1.0	0.99881534098	0.993644182485	0.99998047472	0.999999966053	0.999999999797
MA0156.1.FEV	8.30598065302e-186	2.08788615456e-55	0.000518667315645	0.00337845549274	2.26044113932e-19	1.0542244335e-12	8.65754285624e-25	1.07174460159e-129	8.72747641499e-11	2.69348589682e-06	7.88523292993e-27	6.27346971736e-19	1.86088524834e-82
MA0111.1.Spz1	0.999999999328	0.999999987716	0.913231913065	0.684627711841	0.99937830516	0.989124603094	0.983366004702	0.99998908876	0.39813039849	0.773204768232	0.954414133542	0.998353459373	0.760033428257
UP00106_1_Vax2_3500.1	0.999999999937	1.0	1.0	0.999999055339	0.999999137921	1.0	0.999999999999	1.0	0.999999990364	0.999877760693	0.999999613913	0.99999893543	0.999999998405
MA0528.1.ZNF263	3.01446337844e-206	6.28761232209e-111	2.42567079502e-10	4.11386891731e-12	4.8610055268e-32	1.35726156193e-32	3.74601448752e-40	1.84407515824e-106	3.49476484696e-16	0.00191779454871	1.63310271931e-21	5.93706514321e-26	1.45483499588e-47
UP00051_1_Sox8_primary	0.999999999963	0.999999999985	1.0	1.0	0.999999999996	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	1.0
UP00257_1_Shox2_2641.2	0.999999999942	0.999999999975	1.0	0.999999999986	0.999999999995	1.0	1.0	1.0	0.9999999976	0.99999999637	0.999999992855	1.0	1.0
MA0063.1.Nkx2-5	0.999999999954	0.999999999998	1.0	0.999999903691	1.0	1.0	1.0	1.0	0.999999999992	0.999999998699	0.999999971987	1.0	1.0
UP00250_1_Irx5_2385.1	0.999999999955	0.999999999979	1.0	1.0	0.999999999998	1.0	0.999999999999	1.0	0.999999999998	0.999999999917	1.0	1.0	1.0
UP00004_1_Sox14_primary	0.99999999996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	1.0
UP00206_1_Hoxb7_3953.1	0.999999999986	0.999999999985	1.0	1.0	0.999999999997	1.0	1.0	1.0	0.999999999979	0.999999983883	1.0	0.999999999873	1.0
UP00075_1_Sox15_primary	0.999999999945	0.999999999987	1.0	0.999999999996	0.999999999999	1.0	0.999999999999	1.0	0.999999302314	0.999999999189	0.99999999868	1.0	1.0
UP00226_1_Mrg1_2246.2	0.999980810606	0.999999999026	0.999469623657	0.990523569821	0.99678101772	0.999999717003	0.986637123533	0.95013346197	0.279130906244	0.735717048178	0.381264663425	0.620270875241	0.977225261758
MA0470.1.E2F4	0.0	2.05194739053e-292	2.04758458992e-31	1.63582001548e-43	2.85832202936e-65	6.09285982603e-121	3.11625175092e-53	2.84680453281e-178	4.62326573965e-37	1.74171974775e-12	7.24024305097e-23	2.68201129415e-60	1.62806013717e-68
MA0499.1.Myod1	2.68594433672e-168	1.1302255834e-88	3.98449751965e-06	2.71505735848e-10	6.58089414609e-26	4.63015939946e-15	7.63024751296e-33	7.34614206404e-87	4.74484909967e-11	4.12377080641e-07	1.68588913674e-15	2.47030383997e-14	1.24970607495e-39
MA0472.1.EGR2	0.0	4.92235086172e-290	2.2550378287e-23	2.51988849147e-37	5.81022601228e-75	7.04641424313e-85	9.9820276194e-84	3.07742414856e-164	1.68435868095e-29	1.2861581964e-11	3.20407384569e-29	4.70267801888e-65	7.08539523386e-67
UP00023_1_Sox30_primary	0.99999999995	0.99999999998	0.999999999852	0.999999833627	0.999999999949	1.0	0.999999999896	1.0	0.999241860923	0.999964576511	0.999915023087	0.999999977501	0.967793117362
MA0019.1.Ddit3::Cebpa	0.999999999958	0.999999999992	0.999993010492	0.999497840891	0.999999999856	1.0	0.999999991743	1.0	0.997279183707	0.905069438629	0.99953183855	0.999035846774	0.999998523425
UP00244_1_Tlx2_3498.2	0.999999999957	0.999999999997	1.0	1.0	0.999999999998	1.0	1.0	1.0	0.999999999998	0.999999999999	1.0	1.0	1.0
UP00159_1_Six2_2307.2	0.999999999929	0.999999999992	0.999999640595	0.999999999444	0.999999999998	1.0	1.0	1.0	0.999999911433	0.999999930772	0.99999236927	1.0	1.0
UP00100_1_Gata6_primary	0.999999999943	0.999999999984	0.9999746543	0.999997718881	0.99932370892	1.0	0.999999785841	0.992931581597	0.932574167557	0.96256427846	0.571798328671	0.9999504423	0.788190964313
MA0072.1.RORA_2	0.99999999998	0.99999999999	0.999955490093	0.999978747214	0.999963786095	0.999994450438	0.999999940255	0.999999982115	0.999807359542	0.995408362144	0.998682781216	0.999965698831	0.996026867691
MA0485.1.Hoxc9	0.999999999967	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999955	0.99999999943	0.99999849467	0.999999999967	0.999999968816
UP00183_1_Hoxa13_3126.1	0.999999999943	0.999999999979	1.0	0.999956353549	0.999999999997	1.0	0.999999999999	1.0	0.999999879666	0.991299819493	0.9965917991	1.0	0.999999995246
UP00253_1_Rax_3443.1	0.999999999985	0.999999999995	0.999999924583	0.998615323738	0.999749748752	0.999999999996	0.999999610496	0.999999999484	0.999780476548	0.992932732469	0.982701594795	0.999956466834	0.995807017487
UP00238_1_Nkx6-3_3446.1	0.99999999995	0.999999999987	1.0	1.0	0.999999999996	1.0	1.0	1.0	0.999999999999	0.999999999995	1.0	1.0	1.0
UP00201_1_Emx2_3420.1	0.999999999945	0.999999999998	0.999999966219	0.995735834812	0.9999235114	1.0	0.999999998614	1.0	0.998321318879	0.942231181285	0.98099846465	0.999999740567	0.998600976415
UP00230_1_Dlx5_3419.2	0.999999999953	1.0	0.997041370364	0.999930881599	0.998229315511	0.999999543189	0.999999420287	0.999999994217	0.963427402506	0.99464512242	0.835739109217	0.999952481421	0.994025599534
UP00168_1_Hoxd8_2644.1	0.999999999963	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999997	1.0	1.0	1.0	1.0
UP00391_1_Hoxa3_primary	0.999999999968	0.999999999992	0.999999999997	0.99999999485	0.999999999879	1.0	0.999999999998	1.0	0.999999926741	0.999999256489	0.999584295403	0.999999999963	0.999999984379
MA0507.1.POU2F2	0.99999999994	0.999999999988	1.0	1.0	0.999999999997	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	1.0
MA0599.1.KLF5	0.0	0.0	3.49578810354e-29	6.20697528643e-36	1.70106916426e-80	1.04781921686e-97	3.49274987104e-103	4.29900303282e-223	1.76160358922e-33	7.89214634806e-22	5.70544856701e-36	5.45890194219e-62	1.35195266916e-75
