"cluster1"	"cluster2"	"cluster3"	"cluster4"
"MA0163.1.PLAG1"	0	0.347487396902693	0	0
"MA0528.1.ZNF263"	0	0	0	0
"MA0470.1.E2F4"	0	0	0	0
"MA0472.1.EGR2"	0	0	0	0
"MA0599.1.KLF5"	0	0	0	0
"MA0067.1.Pax2"	3.85095152533643	4.05062642075156	0.522177704801754	0
"UP00007_1_Egr1_primary"	0	0	0	0
"MA0099.2.JUN::FOS"	0.80737237629538	2.24940223348398	0	0
"MA0516.1.SP2"	0	0	0	0
"MA0490.1.JUNB"	-3.69049308466727	0.807062585423807	0	0
"MA0527.1.ZBTB33"	0	4.10313361635898	0	0
"MA0476.1.FOS"	-4.65450579041462	-4.46559238499453	0	-1.18746006941731
"UP00093_1_Klf7_primary"	0	0	0	0
"MA0056.1.MZF1_1-4"	3.21831663987776	6.93605549949102	2.00171278177698	4.5618465702017
"MA0162.2.EGR1"	0	0	0	0
"klf4_homer"	0	0	0	0
"MA0146.2.Zfx"	-2.06465922850662	2.78570670305607	4.48822867429493	0
"MA0048.1.NHLH1"	6.96767589386446	0.0283331836896794	1.86418560189755	0
"MA0076.2.ELK4"	0	0	0	0
"MA0039.2.Klf4"	0	0	0	0
"MA0024.2.E2F1"	0	0	0	0
"MA0491.1.JUND"	-1.17421929718347	-5.81587254035969	0	0
"MA0469.1.E2F3"	0	0	0	0
"MA0028.1.ELK1"	0	7.96418635099863	0	0
"MA0524.1.TFAP2C"	3.41930805884884	5.51095753594809	4.38092309940305	0
"UP00065_1_Zfp161_primary"	0	0	0	0
"MA0493.1.Klf1"	0	0	0	0
"MA0471.1.E2F6"	0	0	0	0
"MA0155.1.INSM1"	1.29467951640778	4.42414278863648	4.15413524416471	0
"UP00002_1_Sp4_primary"	0	0	0	0
"UP00102_1_Zic1_primary"	0	0	0	0
"MA0477.1.FOSL1"	-2.47631106172224	-1.12347953053872	0	0
"MA0079.3.SP1"	0	0	0	0
"UP00021_1_Zfp281_primary"	0	0	0	0
"UP00408_1_Gabpa_primary"	-3.890011332291	-0.927772259156111	0	0
"UP00001_1_E2F2_primary"	0	6.67573231157578	0	0
"MA0474.1.Erg"	0	0	0	0
"MA0473.1.ELF1"	0	1.55422154574537	0	0
"UP00022_1_Zfp740_primary"	0	2.70366572810282	2.20257033900493	0
"UP00057_1_Zic2_primary"	0	0	0	0
"MA0098.2.Ets1"	0	0	0	0
"MA0062.2.GABPA"	0	0	0	0
"MA0506.1.NRF1"	0	0	0	0
"MA0475.1.FLI1"	0	0	0	0
"UP00006_1_Zic3_primary"	0	0	0	0
"MA0139.1.CTCF"	1.14370297113533	7.31009940078219	1.459489765053	0
"MA0598.1.EHF"	-1.26432264001761	2.51792273300761	0	0
"MA0489.1.JUN.var.2"	-7.36571578048813	-6.01956250362991	0	-7.89209042125293
