TF	MERGED_WITH	CLUSTER1_WITH	CLUSTER2_WITH	CLUSTER3_WITH	CLUSTER4_WITH	CLUSTER5_WITH	MERGED_WO	CLUSTER1_WO	CLUSTER2_WO	CLUSTER3_WO	CLUSTER4_WO	CLUSTER5_WO
MA0003.2.TFAP2A	1.53986799466e-21	0.122156998272	0.286851883058	0.0047842094657	2.59341533585e-05	2.2075368336e-14	1.0	1.0	1.0	1.0	1.0	1.0
MA0004.1.Arnt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0006.1.Arnt::Ahr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0036.2.GATA2	1.0	1.0	1.0	1.0	1.0	1.0	0.000384265890853	0.404650432099	1.0	0.566984806869	0.139275214248	0.228429528656
MA0039.2.Klf4	9.69940526326e-50	0.00779796092369	0.0142649827403	0.00118345654993	3.42180489937e-09	4.40030451058e-29	1.0	1.0	1.0	1.0	1.0	1.0
MA0048.1.NHLH1	0.0139221900539	0.122156998272	1.0	0.86638056684	0.229467294667	0.121132337837	1.0	1.0	0.913060119097	1.0	1.0	1.0
MA0050.2.IRF1	1.0	1.0	1.0	1.0	1.0	1.0	0.000419803779499	1.0	0.0575053746966	0.629287219789	0.364139518686	0.120673368516
MA0078.1.Sox17	1.0	1.0	1.0	1.0	1.0	1.0	0.000367025429195	1.0	1.0	0.687469575185	0.0879487364517	0.0480344199712
MA0089.1.NFE2L1::MafG	1.0	1.0	0.862153553155	1.0	1.0	1.0	2.66801430161e-06	1.0	1.0	0.938898773875	0.0820339177781	0.0044391815529
MA0091.1.TAL1::TCF3	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.196524737074	1.0	0.953049525118	1.0	0.394146011976	0.329269114304
MA0093.2.USF1	1.0	0.985445614705	1.0	1.0	1.0	0.621236242109	0.850083631278	1.0	0.986274601813	1.0	0.635688602264	1.0
MA0098.2.Ets1	1.0	0.6653801616	1.0	1.0	1.0	1.0	1.5123802396e-06	1.0	0.288446680009	0.0193835194253	0.074957461127	0.173738013901
MA0099.2.JUN::FOS	1.0	0.839693700799	1.0	1.0	1.0	1.0	2.25673721063e-31	1.0	0.679338691451	0.00198979251927	2.31017627511e-07	1.00194088468e-07
MA0100.2.Myb	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.00221600772761	1.0	0.652947960415	0.485538137564	0.0636286362145	0.600132221239
MA0101.1.REL	1.70221715126e-57	3.47411894058e-06	0.0148835412574	2.52082401749e-15	3.04523797113e-08	5.53870348049e-33	1.0	1.0	1.0	1.0	1.0	1.0
MA0103.2.ZEB1	7.39304818812e-07	0.0676383234839	0.0480074893884	1.0	0.00250833201914	0.246886598431	1.0	1.0	1.0	1.0	1.0	1.0
MA0105.3.NFKB1	1.31869221041e-52	1.44051294479e-06	0.432580767446	4.01080834955e-12	1.03811930893e-13	4.87662677102e-29	1.0	1.0	1.0	1.0	1.0	1.0
MA0107.1.RELA	8.10597724766e-86	6.65757875741e-11	7.08000921909e-05	1.30009083854e-20	2.15507611888e-15	1.23920567201e-41	1.0	1.0	1.0	1.0	1.0	1.0
MA0117.1.Mafb	1.0	1.0	1.0	1.0	1.0	1.0	0.00358352424755	1.0	0.986274601813	0.77015641139	0.00800851753119	0.726557862301
MA0119.1.TLX1::NFIC	1.0	0.561276002704	1.0	0.231753787941	1.0	1.0	0.67519913514	1.0	1.0	1.0	0.0466944679801	0.839677591766
MA0124.1.NKX3-1	1.0	0.985445614705	1.0	1.0	1.0	1.0	7.38925648941e-06	1.0	0.60987034914	0.870045267256	0.0222418696569	0.00416502721288
MA0137.3.STAT1	1.0	0.779455739368	1.0	1.0	1.0	1.0	0.178884117854	1.0	0.986274601813	0.77579977781	0.113540510398	0.908983679198
MA0139.1.CTCF	2.03027248512e-11	0.0485561805337	0.121191954585	0.285618225267	0.0117215531334	1.15804014848e-07	1.0	1.0	1.0	1.0	1.0	1.0
MA0144.2.STAT3	1.0	0.639061331363	1.0	1.0	1.0	1.0	0.00301591456668	1.0	0.935349450154	0.104874614695	0.0731243143047	0.647421485198
MA0149.1.EWSR1-FLI1	0.0251199425707	0.777399204469	1.0	1.0	0.194233663276	0.00837191266931	1.0	1.0	0.787721909445	0.938898773875	1.0	1.0
MA0151.1.ARID3A	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.000392956779993	1.0	0.986274601813	0.499363396131	0.108853474119	0.0365755873784
MA0153.1.HNF1B	1.0	0.989397098829	1.0	1.0	1.0	1.0	0.075744983594	1.0	0.986274601813	1.0	0.278251628791	0.541173499383
MA0160.1.NR4A2	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.21878921474	1.0	0.986274601813	0.870045267256	0.552229348839	0.461365392797
MA0161.1.NFIC	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0162.2.EGR1	2.97918676841e-65	0.00592781177152	0.000946971185465	4.5395049491e-06	1.42869341373e-24	1.14044839355e-22	1.0	1.0	1.0	1.0	1.0	1.0
MA0259.1.HIF1A::ARNT	0.333164655382	0.780849871865	0.0266409883072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.191221779488	0.705968002399
MA0462.1.BATF::JUN	1.0	1.0	1.0	1.0	1.0	1.0	1.61808380016e-38	1.0	0.184498663368	0.000161655725545	1.82368775968e-10	1.00194088468e-07
MA0463.1.Bcl6	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.0482684514822	1.0	0.786571617007	0.156476148863	0.358396948441	0.63093140532
MA0464.1.Bhlhe40	0.717204552427	0.98602756666	1.0	1.0	1.0	0.416893961912	1.0	1.0	1.0	1.0	0.701941659407	1.0
MA0472.1.EGR2	9.90621499606e-31	0.000160335567984	0.216890709577	0.025742394711	1.99588707936e-09	1.16636314485e-11	1.0	1.0	1.0	1.0	1.0	1.0
MA0474.1.Erg	1.0	0.832860034678	1.0	1.0	1.0	1.0	1.27159091083e-07	1.0	0.679338691451	0.0683261539308	0.00918139283064	0.17732361835
MA0475.1.FLI1	1.0	1.0	1.0	1.0	1.0	1.0	2.55333633762e-06	1.0	0.238493535176	0.364864464046	0.144758604111	0.0337929025132
MA0476.1.FOS	1.0	1.0	1.0	1.0	1.0	1.0	6.45013658705e-40	1.0	0.102525294697	7.56002300573e-05	1.48064536755e-08	2.62765876491e-07
MA0477.1.FOSL1	1.0	1.0	1.0	1.0	1.0	1.0	2.21299439071e-33	1.0	0.390188799235	0.000136202551381	2.31017627511e-07	6.91323946572e-06
MA0478.1.FOSL2	1.0	1.0	1.0	1.0	1.0	1.0	6.59692996079e-40	1.0	0.190602965393	6.52807723853e-05	2.31017627511e-07	1.08890295293e-08
MA0486.1.HSF1	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.901620972383	1.0	1.0	1.0	0.93428261821	0.926533320634
MA0488.1.JUN	1.0	1.0	1.0	1.0	1.0	1.0	3.87205166155e-07	1.0	0.273097298196	0.0764547125568	0.137267711669	0.0052489508745
MA0489.1.JUN.var.2	1.0	1.0	1.0	1.0	1.0	1.0	2.97770710688e-42	1.0	0.102525294697	6.52807723853e-05	5.6274895839e-10	4.05842596901e-08
MA0490.1.JUNB	1.0	1.0	1.0	1.0	1.0	1.0	5.02753277391e-40	1.0	0.60987034914	0.000104076788843	3.12405040779e-08	5.79257239295e-09
MA0491.1.JUND	1.0	1.0	1.0	1.0	1.0	1.0	6.90563278631e-39	1.0	0.0891747625874	0.000104076788843	2.19008607485e-09	3.20908083939e-07
MA0492.1.JUND.var.2	1.0	0.985445614705	1.0	1.0	1.0	1.0	1.47943570832e-07	1.0	0.372431650117	0.00975553519915	0.176953193191	0.00107772026847
MA0495.1.MAFF	1.0	1.0	1.0	1.0	1.0	1.0	0.000615471327502	1.0	0.986274601813	0.0220743883659	0.0171224476852	1.0
MA0496.1.MAFK	1.0	1.0	1.0	1.0	1.0	1.0	0.000328373887474	1.0	0.90360198122	0.19792154849	0.0416878288362	0.666015990776
MA0501.1.NFE2::MAF	1.0	1.0	1.0	1.0	1.0	1.0	9.20334023624e-15	0.756307957628	0.102525294697	0.00160617707053	0.0066186895083	0.301163920247
MA0517.1.STAT2::STAT1	1.0	1.0	1.0	1.0	1.0	0.938085551938	0.123683398972	1.0	0.668727253088	0.169571597561	0.612820051391	1.0
MA0518.1.Stat4	1.0	0.639061331363	1.0	1.0	1.0	1.0	0.0181438757744	1.0	0.935349450154	0.308890232453	0.0820339177781	0.807708161326
MA0520.1.Stat6	1.0	1.0	1.0	1.0	1.0	1.0	0.0186293814203	1.0	0.238981420242	0.775472404593	0.278251628791	0.916240709202
MA0522.1.Tcf3	0.115130294329	0.883539118778	1.0	0.534223547292	0.716881222023	0.211357475247	1.0	1.0	1.0	1.0	1.0	1.0
MA0591.1.Bach1::Mafk	1.0	1.0	1.0	1.0	1.0	1.0	3.63996969664e-07	1.0	0.785776705442	0.0183517562828	0.0461766655292	0.705968002399
MA0593.1.FOXP2	1.0	1.0	1.0	1.0	1.0	1.0	1.19311591785e-09	0.404650432099	0.674260892127	0.499363396131	0.0654325652045	0.0146520857428
MA0595.1.SREBF1	1.0	1.0	1.0	1.0	1.0	0.478956864121	0.562973634051	0.404650432099	0.986274601813	1.0	0.305812134894	1.0
MA0596.1.SREBF2	1.0	1.0	1.0	1.0	1.0	0.401251997761	0.580725078207	1.0	0.646583053418	1.0	0.458664973996	1.0
UP00007_1_Egr1_primary	1.45452466602e-36	7.6870661477e-05	0.027075314884	0.0131656918259	7.06497436284e-12	5.845439758e-11	1.0	1.0	1.0	1.0	1.0	1.0
UP00009_1_Nr2f2_primary	1.0	0.832860034678	1.0	1.0	1.0	1.0	0.496652665019	1.0	1.0	0.629287219789	0.824421287406	0.34669651641
UP00014_1_Sox17_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.25899351493e-07	1.0	0.986274601813	0.206038926778	0.00542269857686	0.0142377928618
UP00017_1_Nkx3-1_primary	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.361826883533	1.0	1.0	0.604020869823	0.984260587423	0.913864835409
UP00017_3_Nkx3-1_2923.2	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.261117701458	1.0	0.986274601813	0.870045267256	0.179048722104	1.0
UP00021_1_Zfp281_primary	6.15836940745e-44	0.00657840358689	0.00247351736513	0.00844040476128	1.56071362637e-14	1.72621294003e-19	1.0	1.0	1.0	1.0	1.0	1.0
UP00025_1_Foxk1_primary	1.0	1.0	1.0	1.0	1.0	1.0	4.36935335643e-08	1.0	0.0996315316358	0.975376896199	0.0378712013351	0.00718482105398
UP00034_1_Sox7_primary	1.0	1.0	1.0	1.0	1.0	1.0	9.8674285846e-14	1.0	0.77355314029	0.00871301654545	0.00759656514273	0.000371679443964
UP00043_1_Bcl6b_primary	1.0	1.0	1.0	1.0	1.0	1.0	0.0337543987465	1.0	1.0	0.115286132297	0.454439647642	0.31858675173
