FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0070.1.PBX1	4.0572843372e-05	0.019637256192	3.0	5015.0	14.0	2460.0	0.06%	0.57%	NA
MA0050.2.IRF1	0.000237625515275	0.0575053746966	45.0	4973.0	47.0	2427.0	0.9%	1.9%	NA
UP00073_1_Foxa2_primary	0.000630760203222	0.0859991318262	11.0	5007.0	19.0	2455.0	0.22%	0.77%	NA
MA0019.1.Ddit3::Cebpa	0.000710736626663	0.0859991318262	4.0	5014.0	12.0	2462.0	0.08%	0.49%	NA
MA0491.1.JUND	0.000921226886234	0.0891747625874	66.0	4952.0	58.0	2416.0	1.32%	2.34%	NA
UP00025_1_Foxk1_primary	0.00123510163185	0.0996315316358	11.0	5007.0	18.0	2456.0	0.22%	0.73%	NA
MA0508.1.PRDM1	0.00212235942935	0.102525294697	51.0	4967.0	46.0	2428.0	1.02%	1.86%	NA
UP00101_1_Sox12_primary	0.00217144773817	0.102525294697	17.0	5001.0	22.0	2452.0	0.34%	0.89%	NA
MA0501.1.NFE2::MAF	0.00224521211638	0.102525294697	21.0	4997.0	25.0	2449.0	0.42%	1.01%	NA
MA0476.1.FOS	0.00241897991879	0.102525294697	67.0	4951.0	56.0	2418.0	1.34%	2.26%	NA
MA0489.1.JUN.var.2	0.00241897991879	0.102525294697	67.0	4951.0	56.0	2418.0	1.34%	2.26%	NA
MA0090.1.TEAD1	0.00254194945529	0.102525294697	31.0	4987.0	32.0	2442.0	0.62%	1.29%	NA
UP00185_1_Pbx1_3203.1	0.00370723954818	0.138023380101	4.0	5014.0	10.0	2464.0	0.08%	0.4%	NA
MA0462.1.BATF::JUN	0.00533673819659	0.184498663368	47.0	4971.0	41.0	2433.0	0.94%	1.66%	NA
MA0478.1.FOSL2	0.00590711669605	0.190602965393	68.0	4950.0	54.0	2420.0	1.36%	2.18%	NA
UP00030_1_Sox11_primary	0.00634819931021	0.192033029134	37.0	4981.0	34.0	2440.0	0.74%	1.37%	NA
MA0033.1.FOXL1	0.00784212048278	0.221942319468	5.0	5013.0	10.0	2464.0	0.1%	0.4%	NA
UP00061_1_Foxl1_primary	0.00825405320334	0.221942319468	11.0	5007.0	15.0	2459.0	0.22%	0.61%	NA
MA0475.1.FLI1	0.00936234952139	0.238493535176	147.0	4871.0	99.0	2375.0	2.93%	4.0%	NA
MA0520.1.Stat6	0.00987526529926	0.238981420242	14.0	5004.0	17.0	2457.0	0.28%	0.69%	NA
MA0481.1.FOXP1	0.0124792222043	0.273097298196	35.0	4983.0	31.0	2443.0	0.7%	1.25%	NA
MA0488.1.JUN	0.0124792222043	0.273097298196	35.0	4983.0	31.0	2443.0	0.7%	1.25%	NA
UP00058_1_Tcf3_primary	0.0129777641705	0.273097298196	12.0	5006.0	15.0	2459.0	0.24%	0.61%	NA
MA0113.2.NR3C1	0.0146869552577	0.288446680009	15.0	5003.0	17.0	2457.0	0.3%	0.69%	NA
MA0098.2.Ets1	0.0148991053724	0.288446680009	156.0	4862.0	102.0	2372.0	3.11%	4.12%	NA
UP00062_1_Sox4_primary	0.0155544384305	0.28955185386	39.0	4979.0	33.0	2441.0	0.78%	1.33%	NA
MA0040.1.Foxq1	0.0170304709877	0.30528696141	10.0	5008.0	13.0	2461.0	0.2%	0.53%	NA
UP00084_1_Gmeb1_primary	0.0185543671176	0.320725488747	3.0	5015.0	7.0	2467.0	0.06%	0.28%	NA
MA0150.2.Nfe2l2	0.0216406564451	0.361175093774	31.0	4987.0	27.0	2447.0	0.62%	1.09%	NA
MA0515.1.Sox6	0.0227986293086	0.367817886178	57.0	4961.0	43.0	2431.0	1.14%	1.74%	NA
MA0492.1.JUND.var.2	0.0248520207986	0.372431650117	30.0	4988.0	26.0	2448.0	0.6%	1.05%	NA
UP00118_1_Pou4f3_2791.1	0.0253930670535	0.372431650117	7.0	5011.0	10.0	2464.0	0.14%	0.4%	NA
UP00160_1_Obox3_3439.1	0.0253930670535	0.372431650117	7.0	5011.0	10.0	2464.0	0.14%	0.4%	NA
MA0480.1.Foxo1	0.0266056802763	0.378739683934	35.0	4983.0	29.0	2445.0	0.7%	1.17%	NA
MA0477.1.FOSL1	0.0282161321761	0.390188799235	70.0	4948.0	50.0	2424.0	1.39%	2.02%	NA
UP00041_1_Foxj1_primary	0.0302089335129	0.406142328341	10.0	5008.0	12.0	2462.0	0.2%	0.49%	NA
IRF8_AICS	0.032502688096	0.415779125604	59.0	4959.0	43.0	2431.0	1.18%	1.74%	NA
MA0594.1.Hoxa9	0.0326438156466	0.415779125604	5.0	5013.0	8.0	2466.0	0.1%	0.32%	NA
UP00119_1_Nkx2-9_3082.1	0.0359793153248	0.446512528646	0.0	5018.0	3.0	2471.0	0.0%	0.12%	NA
MA0037.2.GATA3	0.0382928714039	0.463343743987	12.0	5006.0	13.0	2461.0	0.24%	0.53%	NA
UP00067_1_Lef1_primary	0.0401832727732	0.474358634689	18.0	5000.0	17.0	2457.0	0.36%	0.69%	NA
UP00109_1_Obox6_3440.2	0.0436933342312	0.50351366114	1.0	5017.0	4.0	2470.0	0.02%	0.16%	NA
MA0007.2.AR	0.0448868337696	0.505237849872	23.0	4995.0	20.0	2454.0	0.46%	0.81%	NA
MA0523.1.TCF7L2	0.0460435770668	0.505324651626	20.0	4998.0	18.0	2456.0	0.4%	0.73%	NA
UP00217_1_Hoxa10_2318.1	0.0469826638909	0.505324651626	7.0	5011.0	9.0	2465.0	0.14%	0.36%	NA
MA0072.1.RORA_2	0.0545007570683	0.573442748284	6.0	5012.0	8.0	2466.0	0.12%	0.32%	NA
UP00197_1_Hoxc9_2367.2	0.0608046403252	0.60987034914	9.0	5009.0	10.0	2464.0	0.18%	0.4%	NA
MA0142.1.Pou5f1::Sox2	0.0630789946884	0.60987034914	15.0	5003.0	14.0	2460.0	0.3%	0.57%	NA
UP00050_1_Bhlhb2_primary	0.0632262230973	0.60987034914	5.0	5013.0	7.0	2467.0	0.1%	0.28%	NA
MA0490.1.JUNB	0.0672832906803	0.60987034914	76.0	4942.0	50.0	2424.0	1.51%	2.02%	NA
MA0514.1.Sox3	0.0700641469566	0.60987034914	71.0	4947.0	47.0	2427.0	1.41%	1.9%	NA
MA0080.3.Spi1	0.0710476461265	0.60987034914	127.0	4891.0	78.0	2396.0	2.53%	3.15%	NA
MA0035.3.Gata1	0.0717744353651	0.60987034914	17.0	5001.0	15.0	2459.0	0.34%	0.61%	NA
MA0497.1.MEF2C	0.0717744353651	0.60987034914	17.0	5001.0	15.0	2459.0	0.34%	0.61%	NA
MA0148.3.FOXA1	0.0722918710595	0.60987034914	25.0	4993.0	20.0	2454.0	0.5%	0.81%	NA
MA0124.1.NKX3-1	0.0732833718186	0.60987034914	4.0	5014.0	6.0	2468.0	0.08%	0.24%	NA
UP00054_1_Tcf7_primary	0.0735447328523	0.60987034914	14.0	5004.0	13.0	2461.0	0.28%	0.53%	NA
UP00075_1_Sox15_primary	0.0738112433624	0.60987034914	11.0	5007.0	11.0	2463.0	0.22%	0.44%	NA
MA0156.1.FEV	0.0743436995852	0.60987034914	75.0	4943.0	49.0	2425.0	1.49%	1.98%	NA
MA0047.2.Foxa2	0.0762568486916	0.614527686891	22.0	4996.0	18.0	2456.0	0.44%	0.73%	NA
MA0136.1.ELF5	0.081385174049	0.614527686891	58.0	4960.0	39.0	2435.0	1.16%	1.58%	NA
MA0087.1.Sox5	0.0830284404936	0.614527686891	24.0	4994.0	19.0	2455.0	0.48%	0.77%	NA
UP00037_1_Zfp105_primary	0.0830284404936	0.614527686891	24.0	4994.0	19.0	2455.0	0.48%	0.77%	NA
UP00032_1_Gata3_primary	0.0837992300306	0.614527686891	7.0	5011.0	8.0	2466.0	0.14%	0.32%	NA
UP00145_1_Barhl2_3868.1	0.0837992300306	0.614527686891	7.0	5011.0	8.0	2466.0	0.14%	0.32%	NA
UP00240_1_Cdx1_2245.1	0.0837992300306	0.614527686891	7.0	5011.0	8.0	2466.0	0.14%	0.32%	NA
MA0596.1.SREBF2	0.0895063317748	0.646583053418	26.0	4992.0	20.0	2454.0	0.52%	0.81%	NA
MA0100.2.Myb	0.0953880265828	0.652947960415	23.0	4995.0	18.0	2456.0	0.46%	0.73%	NA
UP00094_1_Zfp128_primary	0.0970026242497	0.652947960415	2.0	5016.0	4.0	2470.0	0.04%	0.16%	NA
UP00391_1_Hoxa3_primary	0.0970026242497	0.652947960415	2.0	5016.0	4.0	2470.0	0.04%	0.16%	NA
UP00391_3_Hoxa3_2783.2	0.0970026242497	0.652947960415	2.0	5016.0	4.0	2470.0	0.04%	0.16%	NA
UP00064_1_Sox18_primary	0.097132754442	0.652947960415	15.0	5003.0	13.0	2461.0	0.3%	0.53%	NA
MA0041.1.Foxd3	0.101441906448	0.655755609623	20.0	4998.0	16.0	2458.0	0.4%	0.65%	NA
MA0042.1.FOXI1	0.101441906448	0.655755609623	20.0	4998.0	16.0	2458.0	0.4%	0.65%	NA
UP00408_1_Gabpa_primary	0.101615022152	0.655755609623	30.0	4988.0	22.0	2452.0	0.6%	0.89%	NA
MA0517.1.STAT2::STAT1	0.105006758749	0.668727253088	51.0	4967.0	34.0	2440.0	1.02%	1.37%	NA
MA0593.1.FOXP2	0.107268778293	0.674260892127	32.0	4986.0	23.0	2451.0	0.64%	0.93%	NA
MA0018.2.CREB1	0.112672559609	0.679338691451	34.0	4984.0	24.0	2450.0	0.68%	0.97%	NA
MA0474.1.Erg	0.117270948584	0.679338691451	187.0	4831.0	107.0	2367.0	3.73%	4.32%	NA
UP00148_1_Hdx_3845.3	0.117294795968	0.679338691451	5.0	5013.0	6.0	2468.0	0.1%	0.24%	NA
UP00184_1_Lhx8_2247.2	0.117294795968	0.679338691451	5.0	5013.0	6.0	2468.0	0.1%	0.24%	NA
UP00091_1_Sox5_primary	0.118112535046	0.679338691451	11.0	5007.0	10.0	2464.0	0.22%	0.4%	NA
UP00407_1_Elf3_primary	0.120525035884	0.679338691451	52.0	4966.0	34.0	2440.0	1.04%	1.37%	NA
UP00044_1_Mafk_primary	0.120615796171	0.679338691451	8.0	5010.0	8.0	2466.0	0.16%	0.32%	NA
UP00121_1_Hoxd10_2368.2	0.120615796171	0.679338691451	8.0	5010.0	8.0	2466.0	0.16%	0.32%	NA
MA0099.2.JUN::FOS	0.120708941043	0.679338691451	70.0	4948.0	44.0	2430.0	1.39%	1.78%	NA
MA0498.1.Meis1	0.131294785203	0.730421563657	28.0	4990.0	20.0	2454.0	0.56%	0.81%	NA
MA0479.1.FOXH1	0.139113613707	0.731372822374	10.0	5008.0	9.0	2465.0	0.2%	0.36%	NA
UP00107_1_Nkx2-4_3074.1	0.139113613707	0.731372822374	10.0	5008.0	9.0	2465.0	0.2%	0.36%	NA
UP00004_1_Sox14_primary	0.139968968311	0.731372822374	4.0	5014.0	5.0	2469.0	0.08%	0.2%	NA
UP00150_1_Irx6_2623.2	0.139968968311	0.731372822374	4.0	5014.0	5.0	2469.0	0.08%	0.2%	NA
MA0158.1.HOXA5	0.143310639845	0.731372822374	7.0	5011.0	7.0	2467.0	0.14%	0.28%	NA
MA0485.1.Hoxc9	0.143310639845	0.731372822374	7.0	5011.0	7.0	2467.0	0.14%	0.28%	NA
MA0106.2.TP53	0.145065683777	0.731372822374	15.0	5003.0	12.0	2462.0	0.3%	0.49%	NA
MA0482.1.Gata4	0.145065683777	0.731372822374	15.0	5003.0	12.0	2462.0	0.3%	0.49%	NA
