FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0107.1.RELA	2.56034229753e-44	1.23920567201e-41	289.0	6577.0	175.0	15026.0	4.21%	1.15%	NA
MA0101.1.REL	2.28872044648e-35	5.53870348049e-33	261.0	6605.0	177.0	15024.0	3.8%	1.16%	NA
MA0599.1.KLF5	7.26345352302e-35	1.17183716838e-32	661.0	6205.0	773.0	14428.0	9.63%	5.09%	NA
MA0079.3.SP1	2.11279787656e-31	2.55648543064e-29	800.0	6066.0	1042.0	14159.0	11.65%	6.85%	NA
MA0039.2.Klf4	4.5457691225e-31	4.40030451058e-29	540.0	6326.0	609.0	14592.0	7.86%	4.01%	NA
MA0105.3.NFKB1	6.04540508804e-31	4.87662677102e-29	313.0	6553.0	267.0	14934.0	4.56%	1.76%	NA
MA0516.1.SP2	5.85456676579e-29	4.0480147352e-27	690.0	6176.0	878.0	14323.0	10.05%	5.78%	NA
MA0162.2.EGR1	1.88503866702e-24	1.14044839355e-22	550.0	6316.0	686.0	14515.0	8.01%	4.51%	NA
MA0163.1.PLAG1	1.33011969014e-22	7.15308811144e-21	255.0	6611.0	234.0	14967.0	3.71%	1.54%	NA
UP00021_1_Zfp281_primary	3.56655566122e-21	1.72621294003e-19	380.0	6486.0	436.0	14765.0	5.53%	2.87%	NA
UP00093_1_Klf7_primary	5.34030633506e-20	2.34973478742e-18	415.0	6451.0	504.0	14697.0	6.04%	3.32%	NA
MA0056.1.MZF1_1-4	2.29963600962e-18	9.27519857214e-17	432.0	6434.0	549.0	14652.0	6.29%	3.61%	NA
MA0524.1.TFAP2C	1.60799500207e-17	5.98668908464e-16	214.0	6652.0	207.0	14994.0	3.12%	1.36%	NA
MA0146.2.Zfx	1.91384872635e-17	6.61644845397e-16	245.0	6621.0	254.0	14947.0	3.57%	1.67%	NA
MA0493.1.Klf1	3.42394214666e-17	1.10479199932e-15	276.0	6590.0	304.0	14897.0	4.02%	2.0%	NA
MA0003.2.TFAP2A	7.29764242511e-16	2.2075368336e-14	184.0	6682.0	174.0	15027.0	2.68%	1.14%	NA
UP00002_1_Sp4_primary	2.96243627596e-14	8.4342303386e-13	356.0	6510.0	464.0	14737.0	5.18%	3.05%	NA
MA0528.1.ZNF263	5.87841914882e-14	1.58064159335e-12	395.0	6471.0	535.0	14666.0	5.75%	3.52%	NA
MA0470.1.E2F4	2.11010007566e-13	5.37520229799e-12	213.0	6653.0	236.0	14965.0	3.1%	1.55%	NA
klf4_homer	3.77583481574e-13	9.13752025409e-12	296.0	6570.0	374.0	14827.0	4.31%	2.46%	NA
UP00087_1_Tcfap2c_primary	4.22704854619e-13	9.74234045885e-12	108.0	6758.0	84.0	15117.0	1.57%	0.55%	NA
MA0472.1.EGR2	5.30165065839e-13	1.16636314485e-11	279.0	6587.0	347.0	14854.0	4.06%	2.28%	NA
UP00028_1_Tcfap2e_primary	2.86679100293e-12	5.845439758e-11	110.0	6756.0	91.0	15110.0	1.6%	0.6%	NA
UP00007_1_Egr1_primary	2.89856516926e-12	5.845439758e-11	278.0	6588.0	353.0	14848.0	4.05%	2.32%	NA
MA0469.1.E2F3	5.14367517597e-12	9.95815514068e-11	246.0	6620.0	302.0	14899.0	3.58%	1.99%	NA
