FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0107.1.RELA	7.5671029471e-41	3.6624778264e-38	210.0	70.0	108.0	327.0	75.0%	24.83%	NA
MA0101.1.REL	3.2432616879e-30	7.84869328471e-28	193.0	87.0	113.0	322.0	68.93%	25.98%	NA
MA0105.3.NFKB1	2.59592345222e-27	4.18808983625e-25	209.0	71.0	147.0	288.0	74.64%	33.79%	NA
UP00057_1_Zic2_primary	7.3282052737e-12	8.86712838118e-10	128.0	152.0	93.0	342.0	45.71%	21.38%	NA
UP00088_1_Plagl1_primary	9.16148153276e-11	8.86831412371e-09	120.0	160.0	88.0	347.0	42.86%	20.23%	NA
MA0056.1.MZF1_1-4	1.11594418864e-10	9.00194978834e-09	234.0	46.0	268.0	167.0	83.57%	61.61%	NA
UP00006_1_Zic3_primary	2.73307182261e-10	1.88972394592e-08	126.0	154.0	98.0	337.0	45.0%	22.53%	NA
MA0524.1.TFAP2C	5.3254560232e-10	3.22190089403e-08	183.0	97.0	182.0	253.0	65.36%	41.84%	NA
UP00028_1_Tcfap2e_primary	7.32008187031e-10	3.84104892912e-08	122.0	158.0	95.0	340.0	43.57%	21.84%	NA
UP00102_1_Zic1_primary	7.93605150644e-10	3.84104892912e-08	131.0	149.0	107.0	328.0	46.79%	24.6%	NA
MA0057.1.MZF1_5-13	9.04220947002e-10	3.97857216681e-08	151.0	129.0	135.0	300.0	53.93%	31.03%	NA
UP00024_1_Glis2_primary	1.31722452802e-09	5.31280559636e-08	94.0	186.0	62.0	373.0	33.57%	14.25%	NA
MA0154.2.EBF1	3.9084271788e-09	1.45513750349e-07	168.0	112.0	164.0	271.0	60.0%	37.7%	NA
UP00087_1_Tcfap2c_primary	5.16765065898e-09	1.78653065639e-07	117.0	163.0	93.0	342.0	41.79%	21.38%	NA
MA0139.1.CTCF	9.58569283472e-09	3.09298355467e-07	155.0	125.0	147.0	288.0	55.36%	33.79%	NA
MA0048.1.NHLH1	1.10641278481e-08	3.34689867404e-07	127.0	153.0	108.0	327.0	45.36%	24.83%	NA
MA0146.2.Zfx	1.88284046144e-08	5.36055754905e-07	178.0	102.0	184.0	251.0	63.57%	42.3%	NA
Ash2l_hand	4.41332191326e-08	1.15985097144e-06	141.0	139.0	131.0	304.0	50.36%	30.11%	NA
MA0145.2.Tcfcp2l1	4.5531339788e-08	1.15985097144e-06	128.0	152.0	113.0	322.0	45.71%	25.98%	NA
MA0504.1.NR2C2	5.13178365207e-08	1.2418916438e-06	171.0	109.0	176.0	259.0	61.07%	40.46%	NA
UP00005_1_Tcfap2a_primary	1.06224022451e-07	2.44821080316e-06	109.0	171.0	90.0	345.0	38.93%	20.69%	NA
UP00010_1_Tcfap2b_primary	1.41199190471e-07	3.10638219036e-06	133.0	147.0	123.0	312.0	47.5%	28.28%	NA
MA0510.1.RFX5	2.33883301075e-07	4.92171816175e-06	124.0	156.0	112.0	323.0	44.29%	25.75%	NA
UP00007_1_Egr1_primary	2.51526762947e-07	5.03543412124e-06	160.0	120.0	164.0	271.0	57.14%	37.7%	NA
MA0116.1.Zfp423	2.60094737667e-07	5.03543412124e-06	108.0	172.0	91.0	344.0	38.57%	20.92%	NA
MA0469.1.E2F3	2.83852747239e-07	5.28402806398e-06	165.0	115.0	172.0	263.0	58.93%	39.54%	NA
MA0003.2.TFAP2A	6.10806420003e-07	1.09492706401e-05	166.0	114.0	176.0	259.0	59.29%	40.46%	NA
MA0155.1.INSM1	6.52824387771e-07	1.12845358458e-05	158.0	122.0	164.0	271.0	56.43%	37.7%	NA
UP00022_1_Zfp740_primary	7.58637507467e-07	1.26613984005e-05	159.0	121.0	166.0	269.0	56.79%	38.16%	NA
MA0162.2.EGR1	9.37002824244e-07	1.51169788978e-05	209.0	71.0	248.0	187.0	74.64%	57.01%	NA
UP00070_1_Gcm1_primary	1.16676765297e-06	1.82166304529e-05	53.0	227.0	30.0	405.0	18.93%	6.9%	NA
MA0471.1.E2F6	1.2348394454e-06	1.86769466116e-05	181.0	99.0	202.0	233.0	64.64%	46.44%	NA
MA0163.1.PLAG1	1.29026875353e-06	1.89239417184e-05	184.0	96.0	207.0	228.0	65.71%	47.59%	NA
