FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
UP00034_1_Sox7_primary	6.5758269922e-08	3.18270026422e-05	235.0	1093.0	639.0	1905.0	17.7%	25.12%	NA
MA0124.1.NKX3-1	8.56801521493e-07	0.000207345968201	109.0	1219.0	339.0	2205.0	8.21%	13.33%	NA
MA0489.1.JUN.var.2	1.6569500286e-06	0.000245821095421	445.0	883.0	1048.0	1496.0	33.51%	41.19%	NA
UP00069_1_Sox1_primary	2.031579301e-06	0.000245821095421	129.0	1199.0	380.0	2164.0	9.71%	14.94%	NA
MA0490.1.JUNB	2.91528914281e-06	0.000282199989024	442.0	886.0	1037.0	1507.0	33.28%	40.76%	NA
UP00061_1_Foxl1_primary	5.1829648347e-06	0.000418092496666	256.0	1072.0	651.0	1893.0	19.28%	25.59%	NA
UP00064_1_Sox18_primary	7.49784726252e-06	0.000518422582152	204.0	1124.0	537.0	2007.0	15.36%	21.11%	NA
UP00101_1_Sox12_primary	9.64262253649e-06	0.000583378663458	232.0	1096.0	595.0	1949.0	17.47%	23.39%	NA
MA0142.1.Pou5f1::Sox2	1.11692056805e-05	0.000600655061038	205.0	1123.0	536.0	2008.0	15.44%	21.07%	NA
UP00008_4	1.29869219937e-05	0.000628567024493	66.0	1262.0	220.0	2324.0	4.97%	8.65%	NA
MA0087.1.Sox5	1.43260077078e-05	0.000630344339144	205.0	1123.0	534.0	2010.0	15.44%	20.99%	NA
MA0491.1.JUND	1.80256306899e-05	0.000727033771159	439.0	889.0	1014.0	1530.0	33.06%	39.86%	NA
UP00091_1_Sox5_primary	2.17552779165e-05	0.000754834471567	201.0	1127.0	522.0	2022.0	15.14%	20.52%	NA
MA0476.1.FOS	2.18340549627e-05	0.000754834471567	449.0	879.0	1032.0	1512.0	33.81%	40.57%	NA
UP00051_1_Sox8_primary	2.45760240256e-05	0.000776550905735	201.0	1127.0	521.0	2023.0	15.14%	20.48%	NA
MA0478.1.FOSL2	2.56711043218e-05	0.000776550905735	469.0	859.0	1070.0	1474.0	35.32%	42.06%	NA
MA0481.1.FOXP1	2.8858579578e-05	0.000807620655787	496.0	832.0	1122.0	1422.0	37.35%	44.1%	NA
UP00191_1_Pou2f2_3748.1	3.10414721244e-05	0.000807620655787	145.0	1183.0	397.0	2147.0	10.92%	15.61%	NA
UP00246_1_Hoxa11_2218.1	3.18275194565e-05	0.000807620655787	64.0	1264.0	210.0	2334.0	4.82%	8.25%	NA
MA0040.1.Foxq1	3.33727543714e-05	0.000807620655787	179.0	1149.0	471.0	2073.0	13.48%	18.51%	NA
UP00096_1_Sox13_primary	4.54584342733e-05	0.00104770867563	195.0	1133.0	503.0	2041.0	14.68%	19.77%	NA
UP00025_1_Foxk1_primary	4.79022672308e-05	0.00105384987908	270.0	1058.0	661.0	1883.0	20.33%	25.98%	NA
UP00255_1_Dbx1_3486.1	5.62173145249e-05	0.00118300783609	224.0	1104.0	563.0	1981.0	16.87%	22.13%	NA
UP00008_3_Six6_2267.4	6.48337131576e-05	0.00130747988201	72.0	1256.0	225.0	2319.0	5.42%	8.84%	NA
MA0153.1.HNF1B	8.10168660828e-05	0.0015602718651	108.0	1220.0	307.0	2237.0	8.13%	12.07%	NA
MA0041.1.Foxd3	8.38162572162e-05	0.0015602718651	325.0	1003.0	769.0	1775.0	24.47%	30.23%	NA
UP00023_1_Sox30_primary	9.32662267416e-05	0.00166337594042	196.0	1132.0	499.0	2045.0	14.76%	19.61%	NA
UP00235_1_Hoxc11_3718.2	0.000100152836613	0.00166337594042	61.0	1267.0	196.0	2348.0	4.59%	7.7%	NA
UP00121_1_Hoxd10_2368.2	0.000105128065019	0.00166337594042	212.0	1116.0	532.0	2012.0	15.96%	20.91%	NA
UP00071_1_Sox21_primary	0.000107507524547	0.00166337594042	116.0	1212.0	323.0	2221.0	8.73%	12.7%	NA
MA0462.1.BATF::JUN	0.000107534901869	0.00166337594042	390.0	938.0	898.0	1646.0	29.37%	35.3%	NA
MA0485.1.Hoxc9	0.000109975268788	0.00166337594042	139.0	1189.0	374.0	2170.0	10.47%	14.7%	NA
UP00245_1_Hoxc10_2779.2	0.000118357497506	0.00173590996342	61.0	1267.0	195.0	2349.0	4.59%	7.67%	NA
MA0084.1.SRY	0.000128367287403	0.00182240058844	219.0	1109.0	545.0	1999.0	16.49%	21.42%	NA
MA0465.1.CDX2	0.000131785166519	0.00182240058844	169.0	1159.0	438.0	2106.0	12.73%	17.22%	NA
MA0477.1.FOSL1	0.000152500754688	0.00205028792414	439.0	889.0	992.0	1552.0	33.06%	38.99%	NA
UP00185_1_Pbx1_3203.1	0.000199645599304	0.00261158027197	128.0	1200.0	345.0	2199.0	9.64%	13.56%	NA
MA0070.1.PBX1	0.000225230447556	0.00282510341374	102.0	1226.0	286.0	2258.0	7.68%	11.24%	NA
UP00014_1_Sox17_primary	0.000228992396583	0.00282510341374	181.0	1147.0	459.0	2085.0	13.63%	18.04%	NA
UP00244_1_Tlx2_3498.2	0.00023347962097	0.00282510341374	215.0	1113.0	531.0	2013.0	16.19%	20.87%	NA
MA0479.1.FOXH1	0.000295993256745	0.00349416429914	176.0	1152.0	446.0	2098.0	13.25%	17.53%	NA
MA0099.2.JUN::FOS	0.000323779726864	0.00373117590005	404.0	924.0	914.0	1630.0	30.42%	35.93%	NA
UP00179_1_Pou2f3_3986.2	0.000378961292223	0.00426551780084	151.0	1177.0	390.0	2154.0	11.37%	15.33%	NA
UP00054_1_Tcf7_primary	0.000438647291262	0.00482512020388	238.0	1090.0	573.0	1971.0	17.92%	22.52%	NA
UP00264_1_Hoxa1_3425.1	0.000481464043856	0.0051784132717	72.0	1256.0	212.0	2332.0	5.42%	8.33%	NA
UP00407_1_Elf3_primary	0.000501337182136	0.00522528668696	372.0	956.0	845.0	1699.0	28.01%	33.22%	NA
UP00156_1_Msx2_3449.1	0.000507414203072	0.00522528668696	70.0	1258.0	207.0	2337.0	5.27%	8.14%	NA
UP00075_1_Sox15_primary	0.000600059242712	0.00605059736401	197.0	1131.0	484.0	2060.0	14.83%	19.03%	NA
MA0135.1.Lhx3	0.000659278919163	0.00651206116071	144.0	1184.0	370.0	2174.0	10.84%	14.54%	NA
MA0151.1.ARID3A	0.000710942319675	0.00675193135428	169.0	1159.0	423.0	2121.0	12.73%	16.63%	NA
UP00059_1_Arid5a_primary	0.00071146384105	0.00675193135428	110.0	1218.0	295.0	2249.0	8.28%	11.6%	NA
UP00126_1_Dlx2_2273.2	0.0008384499003	0.00780403368741	82.0	1246.0	231.0	2313.0	6.17%	9.08%	NA
MA0029.1.Mecom	0.000859700833084	0.0078508528908	160.0	1168.0	402.0	2142.0	12.05%	15.8%	NA
UP00004_1_Sox14_primary	0.000902335447532	0.0080875991964	105.0	1223.0	282.0	2262.0	7.91%	11.08%	NA
UP00078_1_Arid3a_primary	0.000986045989877	0.00867720471092	148.0	1180.0	375.0	2169.0	11.14%	14.74%	NA
UP00037_1_Zfp105_primary	0.0010542045201	0.00911133906657	409.0	919.0	910.0	1634.0	30.8%	35.77%	NA
MA0593.1.FOXP2	0.00111154098939	0.00941137163862	321.0	1007.0	733.0	1811.0	24.17%	28.81%	NA
MA0077.1.SOX9	0.00112780899802	0.00941137163862	190.0	1138.0	463.0	2081.0	14.31%	18.2%	NA
UP00154_1_Dlx3_1030.1	0.00120133827257	0.0098550461682	70.0	1258.0	201.0	2343.0	5.27%	7.9%	NA
UP00145_1_Barhl2_3868.1	0.00124322573869	0.00990614663235	149.0	1179.0	375.0	2169.0	11.22%	14.74%	NA
UP00217_1_Hoxa10_2318.1	0.00125506265205	0.00990614663235	201.0	1127.0	485.0	2059.0	15.14%	19.06%	NA
UP00166_1_Barhl1_2590.2	0.00126896919671	0.00990614663235	114.0	1214.0	299.0	2245.0	8.58%	11.75%	NA
MA0507.1.POU2F2	0.0013327188745	0.0101820903839	197.0	1131.0	476.0	2068.0	14.83%	18.71%	NA
MA0033.1.FOXL1	0.00134639211688	0.0101820903839	128.0	1200.0	329.0	2215.0	9.64%	12.93%	NA
MA0109.1.Hltf	0.00146681675519	0.0109221432232	105.0	1223.0	278.0	2266.0	7.91%	10.93%	NA
UP00008_1_Six6_primary	0.00149299219254	0.010948609412	72.0	1256.0	204.0	2340.0	5.42%	8.02%	NA
UP00261_1_Lhx4_1719.2	0.0017483169744	0.0126296330688	69.0	1259.0	196.0	2348.0	5.2%	7.7%	NA
UP00256_1_Lhx6_2272.1	0.00178146995467	0.0126798743833	66.0	1262.0	189.0	2355.0	4.97%	7.43%	NA
UP00195_1_Six3_1732.2	0.00203796424367	0.0142580122944	77.0	1251.0	213.0	2331.0	5.8%	8.37%	NA
UP00213_1_Hoxa9_2622.2	0.00206210921613	0.0142580122944	182.0	1146.0	440.0	2104.0	13.7%	17.3%	NA
UP00157_1_Hmx3_3490.2	0.00219264461148	0.0149470421402	102.0	1226.0	268.0	2276.0	7.68%	10.53%	NA
UP00174_1_Hoxa2_3079.1	0.00229593520777	0.0154337866745	85.0	1243.0	230.0	2314.0	6.4%	9.04%	NA
MA0047.2.Foxa2	0.00246090550913	0.0163161406359	231.0	1097.0	540.0	2004.0	17.39%	21.23%	NA
UP00155_1_Hmx2_3424.3	0.00288624337331	0.0187405481035	104.0	1224.0	270.0	2274.0	7.83%	10.61%	NA
UP00150_1_Irx6_2623.2	0.00290401055323	0.0187405481035	99.0	1229.0	259.0	2285.0	7.45%	10.18%	NA
UP00243_1_Isx_3445.1	0.00312905794798	0.0199271585108	44.0	1284.0	134.0	2410.0	3.31%	5.27%	NA
UP00073_1_Foxa2_primary	0.00346481935927	0.0217060362017	250.0	1078.0	575.0	1969.0	18.83%	22.6%	NA
UP00016_1_Sry_primary	0.00349808021433	0.0217060362017	97.0	1231.0	253.0	2291.0	7.3%	9.94%	NA
MA0025.1.NFIL3	0.00364060199428	0.0223044476611	71.0	1257.0	195.0	2349.0	5.35%	7.67%	NA
UP00207_1_Hoxb9_3413.1	0.00373709361244	0.0226094163552	186.0	1142.0	442.0	2102.0	14.01%	17.37%	NA
UP00171_1_Msx3_3206.1	0.00426546641319	0.0252289988981	113.0	1215.0	286.0	2258.0	8.51%	11.24%	NA
UP00115_1_Lhx2_0953.2	0.00427433452405	0.0252289988981	68.0	1260.0	187.0	2357.0	5.12%	7.35%	NA
UP00127_1_Gsh2_3990.2	0.00447273443113	0.0260819694538	78.0	1250.0	209.0	2335.0	5.87%	8.22%	NA
UP00055_1_Hbp1_primary	0.0045577198735	0.0261483860037	202.0	1126.0	473.0	2071.0	15.21%	18.59%	NA
UP00168_1_Hoxd8_2644.1	0.00459217522793	0.0261483860037	157.0	1171.0	379.0	2165.0	11.82%	14.9%	NA
UP00194_1_Irx4_2242.3	0.0054870191363	0.0308804332787	97.0	1231.0	249.0	2295.0	7.3%	9.79%	NA
UP00134_1_Hoxb13_3479.1	0.00592452402689	0.0327082552517	176.0	1152.0	416.0	2128.0	13.25%	16.35%	NA
