	HMGB1	HMGB2
Ash2l_hand	7.8665e-27	9.9998e-01
MA0018.2.CREB1	1.0000e+00	4.8848e-01
MA0029.1.Mecom	1.0000e+00	1.1375e-05
MA0036.2.GATA2	1.0000e+00	2.3597e-06
MA0058.3.MAX	3.7072e-01	9.2816e-02
MA0076.2.ELK4	1.9824e-01	3.1807e-20
MA0078.1.Sox17	1.0000e+00	3.8080e-01
MA0083.3.SRF	1.0000e+00	1.2020e-04
MA0093.2.USF1	1.0000e+00	1.4864e-01
MA0095.2.YY1	1.3812e-07	6.3268e-12
MA0098.3.ETS1	1.0000e+00	4.7683e-13
MA0103.2.ZEB1	9.7201e-01	9.8684e-01
MA0105.4.NFKB1	2.1098e-02	9.9825e-01
MA0106.3.TP53	1.0000e+00	8.7336e-06
MA0107.1.RELA	1.0000e+00	4.6285e-02
MA0137.3.STAT1	1.0000e+00	1.0456e-12
MA0139.1.CTCF	1.0000e+00	9.9905e-01
MA0144.2.STAT3	1.0000e+00	5.2358e-09
MA0147.2.Myc	1.0000e+00	8.5164e-01
MA0150.2.Nfe2l2	1.0000e+00	2.0846e-03
MA0464.2.BHLHE40	3.8536e-01	2.2910e-01
MA0470.1.E2F4	0.0000e+00	1.0000e+00
MA0473.2.ELF1	1.0000e+00	9.7633e-08
MA0474.2.ERG	1.0000e+00	1.6689e-14
MA0475.2.FLI1	1.0000e+00	2.8595e-14
MA0477.1.FOSL1	1.0000e+00	2.1334e-17
MA0478.1.FOSL2	1.0000e+00	5.6970e-12
MA0481.1.FOXP1	1.0000e+00	3.7132e-06
MA0486.2.HSF1	1.0000e+00	1.8034e-02
MA0488.1.JUN	1.0000e+00	1.1674e-10
MA0489.1.JUN.var.2	1.0000e+00	1.4119e-16
MA0495.1.MAFF	1.0000e+00	9.2769e-03
MA0497.1.MEF2C	1.0000e+00	9.4915e-07
MA0510.2.RFX5	1.0000e+00	7.3225e-02
MA0521.1.Tcf12	1.0000e+00	7.9666e-01
MA0522.2.TCF3	1.0000e+00	9.4264e-01
MA0594.1.Hoxa9	1.0000e+00	1.0257e-05
MA0595.1.SREBF1	1.0000e+00	3.4706e-02
MA0596.1.SREBF2	1.0000e+00	1.7105e-02
MA0604.1.Atf1	1.0000e+00	4.7707e-02
MA0608.1.Creb3l2	9.8934e-01	7.1682e-01
MA0609.1.Crem	1.0000e+00	1.6022e-01
MA0637.1.CENPB	2.1096e-08	9.9966e-01
MA0638.1.CREB3	9.9975e-01	9.6273e-01
MA0731.1.BCL6B	1.0000e+00	1.1091e-04
MA0746.1.SP3	1.1063e-146	1.0000e+00
MA0749.1.ZBED1	8.9307e-01	5.7952e-01
MA0754.1.CUX1	9.9997e-01	1.9958e-01
MA0765.1.ETV5	9.9432e-01	4.4867e-11
MA0777.1.MYBL2	1.0000e+00	1.2468e-06
MA0795.1.SMAD3	1.0000e+00	1.4920e-01
MA0796.1.TGIF1	1.0000e+00	4.1347e-02
MA0801.1.MGA	1.0000e+00	4.5316e-02
MA0819.1.CLOCK	9.9933e-01	5.7647e-01
MA0828.1.SREBF2.var.2	9.7658e-01	1.3677e-01
MA0829.1.Srebf1.var.2	9.8523e-01	4.9093e-02
MA0830.1.TCF4	1.0000e+00	9.9970e-01
MA0833.1.ATF4	1.0000e+00	8.9693e-09
MA0844.1.XBP1	1.0000e+00	5.9409e-01
MA0851.1.Foxj3	1.0000e+00	2.5943e-01
MA0855.1.RXRB	1.0000e+00	4.4075e-01
MA0867.1.SOX4	1.0000e+00	5.1909e-13
MA1099.1.Hes1	1.6712e-55	1.5092e-01
UP00000_1_Smad3_primary	1.0000e+00	4.2853e-04
UP00009_1_Nr2f2_primary	1.0000e+00	2.3175e-05
UP00014_1_Sox17_primary	1.0000e+00	4.2806e-01
UP00020_1_Atf1_primary	1.0000e+00	3.3590e-02
UP00039_1_Foxj3_primary	1.0000e+00	9.1927e-02
UP00043_1_Bcl6b_primary	1.0000e+00	2.1768e-01
UP00049_1_Sp100_primary	9.9761e-01	3.5812e-10
UP00055_1_Hbp1_primary	1.0000e+00	5.8531e-02
UP00058_1_Tcf3_primary	1.0000e+00	1.8034e-02
UP00060_1_Max_primary	7.1237e-01	4.7301e-01
UP00062_1_Sox4_primary	1.0000e+00	7.2203e-05
UP00064_1_Sox18_primary	1.0000e+00	1.4787e-03
UP00077_1_Srf_primary	1.0000e+00	2.3148e-02
UP00122_1_Tgif1_2342.2	1.0000e+00	9.3391e-01
UP00148_1_Hdx_3845.3	1.0000e+00	1.5272e-02
UP00213_1_Hoxa9_2622.2	1.0000e+00	4.9050e-03
