FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0645.1.ETV6	3.0817e-17	2.4253e-14	145	3088	15823	752533	4.48%	2.06%	RP11-114F10.2,BAG6,C5ORF63,SF3B3,ZRANB2,AC004920.3,EEF1A1,HSPA9,ATP5L,RP11-433J22.3,RRM2P2,SUDS3,FRMD4A,SART3,GRB10,DOCK9,ARHGAP11B,MARCH3,UPF2,CACTIN,ZC3H12C,ST13P3,RP11-344L21.1,PIN4,ZNF383,BPGM,AC123768.4,STAM2,UFM1,CCT4,MRPS6P4,EFTUD2,PCBP1-AS1,ZNF585B,TM9SF1,XXBAC-BPGBPG34I8.1,PNISR,DDX39B,BUD31,DUSP6,ZNF184,CAB39,TSNAX,RP11-125M16.1,Y_RNA,EFNA5,VCPIP1,PPP1R10,COG4,RP11-932O9.7,MEIS1,HEXIM1,RP11-131L12.2,RP11-114H23.1,RP11-295G20.2,AL136985.1,RCC1,MYO3B,RP11-98I9.4,PES1,EIF4G2,PDAP1,PSMD12,ATP6V1G2-DDX39B,C6ORF52,SNHG3,RP11-314N2.2,APOM,IQCG,NVL,RNU6-481P,RP11-770J1.5
MA0765.1.ETV5	1.9790e-16	7.7875e-14	101	3132	9431	758925	3.12%	1.23%	MYO3B,BAG6,ZRANB2,USP1,RP11-63A1.1,BUD31,SF3B3,SUDS3,RP11-1000B6.5,ARHGAP11B,RRM2P2,PIN4,DDX39B,AC123768.4,STAM2,UFM1,RPL21,SERPINE1,PCBP1-AS1,TM9SF1,XXBAC-BPGBPG34I8.1,PNISR,ZNF184,TSNAX,PDAP1,Y_RNA,VCPIP1,COG4,RP11-932O9.7,PPP1R10,RP11-395B7.7,RP11-131L12.2,RP11-295G20.2,COX7A2L,AL136985.1,RCC1,RP11-98I9.4,RBBP5,PSMD12,ATP6V1G2-DDX39B,C6ORF52,SNHG3,APOM,RNU6-481P,CDKAL1
MA0076.2.ELK4	1.1542e-15	3.0279e-13	176	3057	21744	746612	5.44%	2.83%	ZRANB2,AC004920.3,PES1,CAPRIN1,PNISR,ZNF383,MRPS6P4,RP11-98I9.4,TSNAX,Y_RNA,COG4,IQCG,RP11-295G20.2,NME6,GRB10,RP11-530I17.1,CEP76,ATP6V1G2-DDX39B,C6ORF52,RP11-395B7.7,RNU6-481P,RP11-770J1.5,XPNPEP3,DOCK9,RPL7,BLCAP,SUDS3,RBBP5,RRM2P2,AC123768.4,APOM,CSRNP1,THBS1,EFTUD2,ZNF585B,PSMG2,ZNF184,SNHG3,TTC8,PPP1R10,SART3,DDX39B,XIRP1,MRPL9,AL136985.1,PDAP1,LRIG1,PSMD12,BUD31,CDKAL1,BAG6,RP11-131L12.2,RP11-1000B6.5,MYO3B,UPF2,RP11-344L21.1,UFM1,TM9SF1,XXBAC-BPGBPG34I8.1,EEF1A1,DUSP6,RCC1,VCPIP1,RP11-932O9.7,ATP5L,RP11-7O11.3,ARHGAP11B,ST13,RP11-114F10.2,IPO13,USP1,RP11-63A1.1,SF3B3,FRMD4A,ZC3H12C,ST13P3,PIN4,STAM2,RPL21,SERPINE1,PCBP1-AS1,CUBN,CASC4,RP11-125M16.1,OAZ3,RDH10
MA0759.1.ELK3	5.6893e-14	1.1194e-11	102	3131	10511	757845	3.15%	1.37%	DOCK9,BAG6,ZRANB2,EEF1A1,RP11-63A1.1,BUD31,RP11-131L12.2,SNHG3,FRMD4A,MYO3B,APOM,ATP5L,SMC2,RRM2P2,PIN4,DDX39B,AC123768.4,STAM2,UFM1,RPL21,SERPINE1,PCBP1-AS1,TM9SF1,XXBAC-BPGBPG34I8.1,PNISR,RP11-1000B6.5,ZNF184,TSNAX,PDAP1,Y_RNA,COG4,RP11-932O9.7,PPP1R10,RP11-395B7.7,SF3B3,RP11-295G20.2,SUDS3,AL136985.1,RCC1,RP11-98I9.4,PSMD12,ATP6V1G2-DDX39B,C6ORF52,ARHGAP11B,ZNF335,RNU6-481P,RP11-770J1.5,CDKAL1
MA0156.2.FEV	5.7830e-13	9.1025e-11	96	3137	10005	758351	2.97%	1.3%	DOCK9,BAG6,ZRANB2,EEF1A1,RP11-63A1.1,PRKAG2,RP11-395B7.7,RP11-131L12.2,SNHG3,FRMD4A,MYO3B,ATP5L,PNISR,SMC2,RRM2P2,PIN4,DDX39B,AC123768.4,STAM2,APOM,RPL21,SERPINE1,PCBP1-AS1,XXBAC-BPGBPG34I8.1,JAK1,RP11-1000B6.5,ZNF184,TSNAX,PDAP1,Y_RNA,COG4,RP11-932O9.7,SF3B3,CASC4,RP11-295G20.2,SUDS3,AL136985.1,RCC1,LRIG1,RP11-98I9.4,PSMD12,ATP6V1G2-DDX39B,C6ORF52,ARHGAP11B,BUD31,RNU6-481P,RP11-770J1.5,CDKAL1
MA0760.1.ERF	9.5460e-12	1.1170e-09	98	3135	10858	757498	3.03%	1.41%	DOCK9,BAG6,ZRANB2,EEF1A1,RP11-63A1.1,ATP5L,RP11-395B7.7,RRM2P2,FRMD4A,MYO3B,UPF2,PNISR,SMC2,CACTIN,ZC3H12C,NCOR2,RP11-344L21.1,AC123768.4,STAM2,APOM,CROCCP3,MRPS6P4,SERPINE1,PCBP1-AS1,XXBAC-BPGBPG34I8.1,JAK1,DDX39B,DUSP6,ZNF184,TSNAX,PDAP1,Y_RNA,RNU1-1,CROCC,COG4,RP11-932O9.7,IQCG,SF3B3,CASC4,SART3,RP11-295G20.2,AL136985.1,RP11-1000B6.5,LRIG1,RP11-98I9.4,PSMD12,ATP6V1G2-DDX39B,C6ORF52,ARHGAP11B,BUD31,RNU6-481P,RP11-770J1.5
MA0469.2.E2F3	1.0981e-11	1.1170e-09	24	3209	948	767408	0.74%	0.12%	RP11-98I9.4,NFIA,ZNF383,USP1,RBBP5,COG4,PCBP1-AS1,ZNF585B,SF3B3,PNISR,CCT4,STAM,RP11-390B4.5
MA0864.1.E2F2	1.1355e-11	1.1170e-09	26	3207	1127	767229	0.8%	0.15%	RP11-98I9.4,NFIA,ZNF383,USP1,KB-1047C11.2,SF3B3,COG4,PCBP1-AS1,ZNF585B,RBBP5,PNISR,SART3,CCT4
MA0028.2.ELK1	1.3736e-11	1.2011e-09	100	3133	11254	757102	3.09%	1.46%	MYO3B,BAG6,ZRANB2,USP1,RP11-63A1.1,BUD31,RP11-131L12.2,SNHG3,RP11-1000B6.5,ZNF335,ST13,ATP5L,SMC2,RRM2P2,PIN4,DDX39B,AC123768.4,STAM2,UFM1,RPL21,SERPINE1,PCBP1-AS1,TM9SF1,XXBAC-BPGBPG34I8.1,PNISR,ZNF184,TSNAX,PDAP1,Y_RNA,COG4,RP11-932O9.7,PPP1R10,RP11-395B7.7,SF3B3,RP11-295G20.2,SUDS3,AL136985.1,RCC1,RP11-98I9.4,PSMD12,ATP6V1G2-DDX39B,C6ORF52,ARHGAP11B,APOM,RNU6-481P,RP11-770J1.5,CDKAL1,XPNPEP3
MA0095.2.YY1	1.6555e-11	1.3029e-09	96	3137	10650	757706	2.97%	1.39%	CTC-435M10.3,ZNF335,HS2ST1,HSPA9,LYRM4,AP3M1,RP11-131L12.2,SUDS3,REXO1,BLCAP,PNISR,RRM2P2,AL662800.1,ZNF383,TMED1,PCBP1-AS1,HADHB,HADHA,RPL21,CEP76,NDC1,SERPINE1,EFEMP1,ZNF585B,PSMG2,USP1,HNRNPC,C19ORF38,AC007566.10,ISCU,RP11-98I9.4,MRPS7,VCPIP1,COG4,PPP1R10,GGA3,IQCG,SF3B3,SART3,DDX39B,ADK,ANAPC7,MRPL9,SEP15,OAZ3,SNHG5,RP11-478C19.2,ATP6V1G2-DDX39B,RNU6-481P,NUP205
