FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0477.1.FOSL1	3.1780e-15	2.4530e-12	58	606	20054	750871	8.73%	2.6%	GRIA1,CTD-2005H7.2,FRMD3,RP4-724E13.2,VPS8,CTD-2337A12.1,HPSE2,NEK10,CRADD,LINC00607,TTLL11,AC087269.2,DLGAP1,ARHGDIB,C9ORF3,RN7SL178P,RP4-723E3.1,FAM49A,KCNAB1,TTLL11-IT1,STK24,BCAR3,CPVL,CA8,LINC00398,AC079340.1,GRIN2A,AC004540.5,HECW2,ABCC4,PDE4B,KB-1930G5.4,RN7SL446P
MA0117.2.Mafb	6.2338e-15	2.4530e-12	29	635	5152	765773	4.37%	0.67%	PCNXL2,GRIA1,KCNAB1,NFYC,DLGAP1,FGFBP1,IQCJ-SCHIP1,RN7SKP192,HPSE2,RP4-723E3.1
MA0490.1.JUNB	2.4248e-14	5.5283e-12	59	605	21689	749236	8.89%	2.81%	GRIA1,CTD-2005H7.2,FRMD3,RP4-724E13.2,VPS8,CTD-2337A12.1,HPSE2,CRADD,LINC00607,TTLL11,AC087269.2,DLGAP1,ARHGDIB,C9ORF3,RN7SL178P,RP4-723E3.1,FAM49A,AC008063.3,KCNAB1,TTLL11-IT1,SERP2,STK24,BCAR3,CPVL,CA8,RP6-99M1.1,RP6-99M1.2,LINC00398,AC079340.1,GRIN2A,AC004540.5,HECW2,ABCC4,PDE4B,KB-1930G5.4,RN7SL446P
MA0489.1.JUN.var.2	2.8098e-14	5.5283e-12	61	603	23051	747874	9.19%	2.99%	TENM4,CTD-2005H7.2,RP4-724E13.2,VPS8,CTD-2337A12.1,HPSE2,NEK10,CRADD,TTLL11,DLGAP1,ARHGDIB,C9ORF3,FRMD3,RP4-723E3.1,GRIA1,FAM49A,AC008063.3,KCNAB1,TTLL11-IT1,SERP2,STK24,CPVL,CA8,RP6-99M1.1,RP6-99M1.2,LINC00398,AC079340.1,GRIN2A,AC004540.5,HECW2,ABCC4,PDE4B,KB-1930G5.4,RN7SL446P
MA0478.1.FOSL2	9.3426e-14	1.4705e-11	57	607	21117	749808	8.58%	2.74%	GRIA1,CTD-2005H7.2,RP4-724E13.2,VPS8,CTD-2337A12.1,HPSE2,CRADD,LINC00607,SPARC,DLGAP1,ARHGDIB,TTLL11,FRMD3,RP4-723E3.1,FAM49A,AC008063.3,KCNAB1,TTLL11-IT1,SERP2,STK24,BCAR3,CPVL,CA8,RP6-99M1.1,CTB-113P19.4,RP6-99M1.2,LINC00398,AC079340.1,GRIN2A,AC004540.5,HECW2,ABCC4,KB-1930G5.4,RN7SL446P
MA0491.1.JUND	8.7730e-12	1.1507e-09	52	612	20353	750572	7.83%	2.64%	GRIA1,CTD-2005H7.2,RP4-724E13.2,VPS8,CTD-2337A12.1,HPSE2,CRADD,LINC00858,LINC00607,TTLL11,CCSER2,STK24,ARHGDIB,C9ORF3,FRMD3,RP4-723E3.1,FAM49A,AC008063.3,KCNAB1,TTLL11-IT1,BCAR3,CPVL,CA8,RP6-99M1.1,RP6-99M1.2,RP11-71N10.1,TENM4,GRIN2A,AC004540.5,HECW2,ABCC4,KB-1930G5.4
MA0476.1.FOS	1.8860e-11	2.1204e-09	52	612	20795	750130	7.83%	2.7%	GRIA1,CTD-2005H7.2,RP4-724E13.2,VPS8,CTD-2337A12.1,HPSE2,LINC00589,LINC00607,CRADD,DLGAP1,RPL17P33,C9ORF3,RP4-723E3.1,AC008063.3,KCNAB1,BCAR3,FRMD3,CA8,RP6-99M1.1,RP6-99M1.2,RP11-71N10.1,TENM4,GRIN2A,AC004540.5,HECW2,ABCC4,PDE4B,KB-1930G5.4
MA0143.3.Sox2	4.1588e-11	4.0912e-09	31	633	8473	762452	4.67%	1.1%	NEBL,CTD-2277K2.1,AC019055.1,AC087269.2,KCNAB1,EEF1E1,RP4-724E13.2,RP11-57P19.1,DLGAP1,TTC13,RN7SKP192,AC007246.3,RN7SL178P,NRP1,KB-1930G5.4,EEF1E1-BLOC1S5
MA0496.1.MAFK	4.9002e-11	4.2850e-09	27	637	6497	764428	4.07%	0.84%	PCNXL2,AC008063.3,AC087269.2,GRIA1,KCNAB1,DLGAP1,FGFBP1,RN7SKP192,HPSE2,RN7SL178P
MA0655.1.JDP2	3.6123e-10	2.8429e-08	39	625	14009	756916	5.87%	1.82%	CTD-2005H7.2,RP4-724E13.2,VPS8,CTD-2337A12.1,HPSE2,LINC00589,LINC00607,COMMD9,TTLL11,CRADD,DLGAP1,RPL17P33,AC004540.5,KCNAB1,TTLL11-IT1,FRMD3,CA8,RP6-99M1.1,RP6-99M1.2,RP11-71N10.1,PRR5L,GRIN2A,C9ORF3,HECW2,ABCC4,PDE4B
MA0106.3.TP53	1.3270e-08	9.4942e-07	15	649	2568	768357	2.26%	0.33%	HSD3BP5,BLOC1S5-TXNDC5,KCNAB1,ZNF697,EFTUD1,NTRK2,RN7SL178P,TXNDC5,AC087269.2,GRIN2A
MA0842.1.NRL	1.6352e-08	1.0724e-06	21	643	5322	765603	3.16%	0.69%	PCNXL2,AC087269.2,GRIA1,KCNAB1,DLGAP1,DNAJC13,IQCJ-SCHIP1,RN7SKP192,HPSE2,RN7SL178P
MA0841.1.NFE2	8.9768e-08	5.4344e-06	33	631	13148	757777	4.97%	1.71%	VPS8,CA8,RP6-99M1.1,RP6-99M1.2,KCNAB1,CTD-2005H7.2,FRMD3,LINC00589,RP4-724E13.2,GRIN2A,RPL17P33,HECW2,CTD-2337A12.1,ABCC4,C9ORF3,PDE4B,HPSE2,CRADD,BCAR3,RP4-723E3.1
MA0442.1.SOX10	1.0328e-07	5.8060e-06	38	626	16639	754286	5.72%	2.16%	STIM1,VAPA,NFYC,RP4-724E13.2,S100A10,LINC00858,EEF1E1-BLOC1S5,CCSER2,AC087269.2,DLGAP1,RN7SKP192,KRT8P28,TGFBR2,KCNAB1,RP11-57P19.1,CGNL1,AC007246.3,NRP1,RN7SL178P,KCNJ1,RBM20,EEF1E1,KB-1930G5.4
UP00407_1_Elf3_primary	1.4707e-07	7.7164e-06	32	632	12776	758149	4.82%	1.66%	CEP164P1,SKAP1,NFYC,CTD-2337A12.1,SLC10A6,ARHGAP26,ARHGAP26-AS1,SERP2,RN7SL446P,CASC5,AC007246.3,BCAR3,BMP6,CA8,CTD-2277K2.1,LINC00398,AC079340.1,RP1-155D22.2,RP1-155D22.1,FAR2,RP11-134D3.2,RP11-134D3.1
MA0099.2.FOS::JUN	2.1910e-07	1.0777e-05	38	626	17158	753767	5.72%	2.23%	VPS8,DLGAP1,CA8,RP4-724E13.2,KCNAB1,GRIA1,CTD-2005H7.2,AC079340.1,RAD51B,ABCC4,GRIN2A,AC004540.5,RN7SL446P,HECW2,RN7SKP192,PDE4B,HPSE2,NEK10,CRADD,KB-1930G5.4,FRMD3
UP00019_1_Zbtb12_primary	2.7906e-07	1.2919e-05	15	649	3265	767660	2.26%	0.42%	BLOC1S5-TXNDC5,EFTUD1,STK24,CASC5,IQCJ-SCHIP1,TXNDC5,LUZP1
MA0866.1.SOX21	3.4966e-07	1.4791e-05	15	649	3325	767600	2.26%	0.43%	OR6S1,LRBA,AC019055.1,EFTUD1,CGNL1,TTC13,RP11-14J7.1
MA0072.1.RORA.var.2	3.6288e-07	1.4791e-05	15	649	3335	767590	2.26%	0.43%	AC104802.1,AC007246.3,DLGAP1,CTD-2005H7.2,LRBA
MA0809.1.TEAD4	3.7589e-07	1.4791e-05	22	642	7021	763904	3.31%	0.91%	FAM49A,TTC13,BLOC1S5-TXNDC5,RP11-624L4.1,CNKSR3,HECW2,RUNX1,AC104802.1,RBM20,RN7SKP192,TXNDC5,BCAR3,RP11-486M3.2
MA0514.1.Sox3	4.2123e-07	1.5786e-05	32	632	13416	757509	4.82%	1.74%	STIM1,CTD-2277K2.1,RP4-724E13.2,CCSER2,AC019055.1,AC087269.2,KCNAB1,NFYC,SERP2,RP11-57P19.1,DLGAP1,RBM20,AC007246.3,NRP1,LINC00858,RN7SL178P
MA0050.2.IRF1	6.8366e-07	2.4456e-05	34	630	15121	755804	5.12%	1.96%	CPVL,KCNJ1,FAM49A,RPSAP2,LINC00398,AC079340.1,RP11-420A23.1,NFYC,RP4-724E13.2,TTLL11-IT1,TTLL11,RN7SL446P,CEP164P1,CTD-2337A12.1,RN7SKP192,RP11-207F8.1,RP11-134D3.2,CRADD,RP11-134D3.1
MA0515.1.Sox6	7.6717e-07	2.6250e-05	27	637	10447	760478	4.07%	1.36%	STIM1,FAM49A,CTD-2277K2.1,CCSER2,AC019055.1,AC087269.2,KCNAB1,RP4-724E13.2,RP11-57P19.1,DLGAP1,C9ORF3,RBM20,AC007246.3,LINC00858,RN7SL178P
