FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0107.1.RELA	1.2863e-09	6.3288e-07	75	689	76	1968	9.82%	3.72%	,LOC338817,FAM153C,HOXC8,MAN2B1,OR6W1P,PLEKHM1P,DPF3,HOXC6,HDAC2,TNFAIP3,DNM3,CLCNKA,KREMEN2,TTC21A,WDR89,MINK1,MAP3K8,PPP1R2,GRK6,ATG16L2,ZNF609,SCGB1D4,PPM1H,TMEM202,JAK2,GPN2,MED16,PIP,FNDC3A,ASRGL1,DOT1L,C15ORF53,LOC100130987,EGLN3,SDK2,STK11,PIK3R1,GTF2E1,PKN2,APOD,CDC42EP4,RPL15,MIR589,SEC24A,LINC00570,SDHAP2,CHST3,FAM72D,RNF150,CLK1,CHST11,SBNO2,NFIX,APBA1,SRRM1,BZW1,AZIN1,ROCK2,VIM,CTGF,ZNF791,PPP2R5E,ACTB,FLYWCH1,NCMAP,YBX2
UP00021_1_Zfp281_primary	5.1670e-05	1.0392e-02	238	526	486	1558	31.15%	23.78%	,NGDN,DPF3,KPNA7,STK11,HDAC2,MAP3K8,BHLHE40,MAN2B1,ZNF706,OR6W1P,TTYH2,PIP,ASRGL1,ZMYM2,IARS,APBA1,SERPINB9,RPL15,SSH2,MACROD1,RPS10-NUDT3,SERPINB6,OSBPL10,SCOC,PXDC1,VIM,SEC24A,ATP8B2,ACTB,NCMAP,YBX2,HOXC8,NOVA2,SPRY4,HOXC6,DNM3,KREMEN2,GTF2E1,APOD,BHLHE40-AS1,PPM1H,PIK3R1,FAM129B,FNDC3A,C15ORF53,FLYWCH1,NUDT3,FRMD8,SDHAP2,TRIM47,CHST3,UBE2I,ZNF613,CCDC130,LOC100507489,NANOS2,TNFAIP3,GRK6,CREM,PPP2R5E,AGO1,AGO3,LOC338817,FAM153C,LOC100129858,STXBP1,ITPR2,CORO2B,TSC1,TNPO1,TMEM202,GPN2,DOT1L,DLC1,EGLN3,CHEK2P2,IL6R,FEV,MIR589,FAM72D,RELA,NMU,NEAT1,MICALL2,SPATC1,TBC1D22B,LINC00475,LINC00570,BRE,IRF8,CRYBA2,CLCNKA,WDR89,RERE,MINK1,ARAP3,CDK12,ATG16L2,SCGB1D4,RAI1,LOC100130987,MED16,ZNF649,ITGB1,PKN2,CDC42EP4,SGSM2,PIGX,GFI1B,PLEKHM1P,THTPA,CHST11,SBNO2,PEMT,SRRM1,SRRM3,AZIN1,ROCK2,TTC21A,CUL4A,ZNF791,WBP2,NFIX
MA0598.1.EHF	8.2932e-05	1.0392e-02	134	630	243	1801	17.54%	11.89%	,NGDN,DPF3,STK11,MAP3K8,PPP1R2,GRK6,FAM153C,ZNF706,HEBP1,ASRGL1,ZMYM2,SERPINB9,RPL15,SEC24A,APBA1,SERPINB6,OSBPL10,SCOC,RAI14,VIM,ATP8B2,HSD3B2,ACTB,LOC100507489,YBX2,HOXC8,MAN2B1,HOXC6,DNM3,KREMEN2,SPATC1,APOD,BHLHE40-AS1,GOLPH3,PPM1H,JAK2,PIK3R1,FNDC3A,C15ORF53,FLYWCH1,SDK2,FRMD8,SDHAP2,TRIM47,EGLN3,IRF8,BHLHE40,CLK1,LOC338817,LOC100129858,ITPR2,SPRY4,GNAI2,TSC1,TNPO1,TMEM202,RNF150,DLC1,CHEK2P2,MTMR12,ARL6IP5,IL6R,MIR589,FAM72D,RELA,NMU,NEAT1,C14ORF39,SSH2,CTGF,LINC00570,CLCNKA,RERE,MINK1,GFI1B,CDK12,ATG16L2,SCGB1D4,RAI1,LOC100130987,MED16,ITGB1,CDC42EP4,PIGX,PLEKHM1P,THTPA,CHST11,SBNO2,PEMT,AZIN1,ROCK2,TTC21A,CUL4A,ZNF791,WBP2,NFIX,BZW1
MA0101.1.REL	8.4487e-05	1.0392e-02	63	701	90	1954	8.25%	4.4%	,HOXC8,NGDN,DPF3,CLK1,HOXC6,HDAC2,TNFAIP3,TRIM47,KREMEN2,MICALL2,GNAI2,WDR89,LINC00570,MINK1,MAP3K8,FAM153C,BHLHE40,ATG16L2,MAN2B1,SCGB1D4,OR6W1P,JAK2,GPN2,PIK3R1,PIP,FNDC3A,ASRGL1,DOT1L,C15ORF53,LOC100130987,EGLN3,SDK2,GTF2E1,APBA1,ARL6IP5,APOD,CDC42EP4,SERPINB9,RPL15,FRMD8,WBP2,SDHAP2,CORO2B,CHST3,THTPA,SERPINB6,CHST11,NFIX,NEAT1,SRRM1,BZW1,C14ORF39,AZIN1,ROCK2,VIM,SEC24A,GRK6,CTGF,HSD3B2,SLC17A5,PPP2R5E,FLYWCH1,NCMAP,BHLHE40-AS1,YBX2
MA0105.3.NFKB1	2.1662e-04	2.1198e-02	74	690	117	1927	9.69%	5.72%	,HOXC8,GOLPH3,DPF3,OR6W1P,STK11,PIP,HOXC6,HDAC2,TNFAIP3,CLCNKA,KREMEN2,ZNF791,GNAI2,WDR89,MTMR12,MINK1,MAP3K8,PPP1R2,GRK6,ATG16L2,MAN2B1,ZNF706,PPM1H,GPN2,TTYH2,OSBPL10,FNDC3A,RNF150,DOT1L,C15ORF53,LOC100130987,EGLN3,SDK2,MED16,GTF2E1,PKN2,APOD,CDC42EP4,RPL15,MIR589,FRMD8,LINC00570,SDHAP2,APBA1,CHST3,FAM72D,MICALL2,ACTB,CLK1,CHST11,SBNO2,NFIX,NEAT1,SRRM1,BZW1,C14ORF39,AZIN1,ROCK2,VIM,SEC24A,FAM153C,CREM,PPP2R5E,BRE,FLYWCH1,NCMAP,YBX2
MA0528.1.ZNF263	2.5852e-04	2.1198e-02	262	502	561	1483	34.29%	27.45%	,NGDN,GOLPH3,MAN2B1,STK11,MAP3K8,PPP1R2,BHLHE40,FAM153C,ZNF706,OR6W1P,TTYH2,PIP,HEBP1,ASRGL1,ZMYM2,IARS,RPL15,MACROD1,APBA1,OSBPL10,SCOC,PXDC1,RAI14,VIM,KPNA7,ATP8B2,HSD3B2,ACTB,NCMAP,HOXC8,MICALL2,NOVA2,SPRY4,DPF3,HOXC6,DNM3,KREMEN2,GTF2E1,APOD,BHLHE40-AS1,ZNF609,PPM1H,JAK2,PIK3R1,FAM129B,FNDC3A,C15ORF53,FLYWCH1,SDK2,NUDT3,ITPR2,TRIM47,CHST3,UBE2I,ZNF613,NANOS2,TNFAIP3,GRK6,CREM,CLK1,VWF,AGO1,AGO3,LOC338817,HDAC2,LOC100129858,STXBP1,SDHAP2,CORO2B,GNAI2,TSC1,TMEM202,GPN2,RNF150,DOT1L,DLC1,DNHD1,EGLN3,CHEK2P2,MTMR12,ARL6IP5,IL6R,MIR589,FAM72D,RELA,NMU,RPS10-NUDT3,C14ORF39,SPATC1,TBC1D22B,CTGF,LINC00475,LINC00570,BRE,IRF8,CLCNKA,WDR89,RERE,MINK1,ARAP3,CDK12,ATG16L2,SCGB1D4,RAI1,LOC100130987,ZNF649,ITGB1,PKN2,CDC42EP4,SGSM2,PPP2R5E,PIGX,GFI1B,PLEKHM1P,THTPA,CHST11,SBNO2,PEMT,SRRM1,SRRM3,AZIN1,ROCK2,TTC21A,CUL4A,ZNF791,WBP2,NFIX,BZW1
MA0092.1.Hand1::Tcfe2a	8.7034e-04	6.1173e-02	28	736	32	2012	3.66%	1.57%	,LOC338817,NGDN,DPF3,NOVA2,STK11,ZNF706,TNPO1,CDK12,ATG16L2,SCGB1D4,OR6W1P,TMEM202,PIP,ASRGL1,DLC1,DNHD1,SSH2,ITPR2,PLEKHM1P,FAM72D,THTPA,SBNO2,APBA1,NANOS2,AZIN1,CUL4A,GRK6,CLK1,NFIX,BZW1
MA0474.1.Erg	1.1377e-03	6.9967e-02	134	630	263	1781	17.54%	12.87%	,NGDN,DPF3,STK11,MAP3K8,PPP1R2,BHLHE40,FAM153C,ZNF706,OR6W1P,TTYH2,PIP,HEBP1,ASRGL1,ZMYM2,SERPINB9,RPL15,SSH2,MACROD1,APBA1,SERPINB6,OSBPL10,SCOC,RAI14,VIM,ATP8B2,HSD3B2,ACTB,LOC100507489,YBX2,HOXC8,MAN2B1,HOXC6,DNM3,GTF2E1,APOD,BHLHE40-AS1,GOLPH3,PPM1H,JAK2,PIK3R1,C15ORF53,SDK2,FRMD8,SDHAP2,TRIM47,EGLN3,IRF8,GRK6,CLK1,LOC338817,LOC100129858,PXDC1,SPRY4,GNAI2,TSC1,TNPO1,TMEM202,RNF150,DLC1,DNHD1,MTMR12,ARL6IP5,IL6R,MIR589,FAM72D,NMU,NEAT1,SPATC1,CTGF,LINC00570,BRE,ITPR2,CLCNKA,RERE,MINK1,GFI1B,CDK12,ATG16L2,SCGB1D4,RAI1,LOC100130987,ITGB1,PIGX,PLEKHM1P,THTPA,SBNO2,PEMT,AZIN1,ROCK2,TTC21A,CUL4A,ZNF791,WBP2,NFIX,BZW1
MA0526.1.USF2	1.6064e-03	8.7818e-02	37	727	51	1993	4.84%	2.5%	,HOXC8,HDAC2,DPF3,NOVA2,HOXC6,PXDC1,DLC1,RAI14,KREMEN2,MICALL2,WDR89,LINC00570,RERE,MINK1,APOD,BHLHE40,BHLHE40-AS1,MAN2B1,FNDC3A,C15ORF53,FLYWCH1,ZMYM2,SDK2,RPL15,MIR589,SSH2,MACROD1,WBP2,SDHAP2,TRIM47,FAM72D,TNFAIP3,SRRM1,NCMAP,NANOS2,ROCK2,SEC24A,SLC17A5,PPP2R5E,ACTB,AGO1,AGO3
Ikaros1_M00086	2.4679e-03	1.2142e-01	32	732	43	2001	4.19%	2.1%	,HOXC8,HDAC2,DPF3,CLK1,ZNF706,HOXC6,PXDC1,RAI14,DNM3,WDR89,LINC00570,MAP3K8,ARAP3,PPP1R2,ATG16L2,MAN2B1,SCGB1D4,LOC100130987,FNDC3A,ASRGL1,ZMYM2,APBA1,NUDT3,APOD,RPL15,PPP2R5E,SDHAP2,TRIM47,FAM72D,CHST11,RPS10-NUDT3,SRRM1,BZW1,ROCK2,WBP2,BRE,NCMAP,YBX2
