chr,start,end,length,abs_summit,pileup,separation,fold_enrichment,-LOG10(qvalue),name
1,22873785,22874656,872,22874466,24.69,0,8.85165,14.16139,p28_peak_17
1,32045615,32046026,412,32045829,47.65,9170959,9.82449,28.83307,p28_peak_23
1,34712969,34713334,366,34713166,28.71,2666943,10.88507,19.74458,p28_peak_24
1,46951840,46952086,247,46951883,21.24,12238506,6.02388,8.0996,p28_peak_29
1,54303965,54304346,382,54304141,99.89,7351879,7.20676,46.47886,p28_peak_30
1,55392181,55392592,412,55392372,23.54,1087835,9.98529,15.57042,p28_peak_31
1,71546434,71547131,698,71546836,51.67,16153842,13.16741,38.83796,p28_peak_43
1,76251364,76252037,674,76251730,35.02,4704233,9.00513,20.60361,p28_peak_45
1,87379368,87380087,720,87379935,53.39,11127331,7.09244,24.54491,p28_peak_52
1,90858199,90858623,425,90858418,28.71,3478112,12.08785,21.72068,p28_peak_53
1,92202303,92202902,600,92202673,14.35,1343680,6.24739,5.7697,p28_peak_55
1,94993887,94994593,707,94994093,17.8,2790985,6.26577,6.68868,p28_peak_59
1,101689089,101689347,259,101689291,18.37,6694496,6.45714,7.62287,p28_peak_66
1,105050452,105050700,249,105050640,18.95,3361105,7.30873,8.65819,p28_peak_67
1,113248901,113249328,428,113249128,61.43,8198201,6.47273,25.90557,p28_peak_71
1,143962991,143963290,300,143963088,20.09,30713663,6.12247,7.96735,p28_peak_81
1,144825651,144826319,669,144825815,16.07,862361,6.94824,7.77419,p28_peak_93
1,144892223,144892622,400,144892309,18.95,65904,6.64851,7.62287,p28_peak_98
1,145292904,145293627,724,145293456,24.69,400282,6.32239,9.64749,p28_peak_110
1,145316389,145316670,282,145316550,14.93,22762,6.05535,5.15932,p28_peak_112
1,145346414,145346941,528,145346767,15.5,29744,6.0465,5.76456,p28_peak_119
1,145350249,145350695,447,145350420,16.65,3308,7.11084,7.68314,p28_peak_120
1,145354081,145354420,340,145354217,14.35,3386,6.24739,5.7697,p28_peak_122
1,145366033,145366362,330,145366183,14.35,11613,6.24739,5.7697,p28_peak_125
1,147751967,147752397,431,147752196,39.61,2385605,13.99544,32.17753,p28_peak_131
1,148010616,148011209,594,148010916,21.82,258219,7.60535,10.55043,p28_peak_134
1,148014766,148015141,376,148014958,14.93,3557,6.17126,5.3354,p28_peak_137
1,152917010,152917344,335,152917150,21.82,4901869,7.60535,10.55043,p28_peak_145
1,177953282,177953531,250,177953459,13.78,25035938,6.01377,4.82751,p28_peak_152
